embedding_id,mainaccord1,all_notes
5235,white floral,"['tincture of rose', 'freesia', 'litchi', 'raspberry', 'lily-of-the-valley', 'jasmine', 'lilac', 'peony', 'lily', 'musk', 'patchouli']"
12268,vanilla,"['pink pepper', 'african orange flower', 'vanille', 'benzoin', 'tonka bean']"
14756,green,"['lemon', 'clover', 'mint', 'green tea', 'lily-of-the-valley', 'cyclamen']"
1405,cacao,"['hazelnut', 'milk', 'sugar', 'cacao', 'floral notes', 'vanilla']"
13448,powdery,"['violet', 'carnation', 'raspberry', 'peach', 'coriander', 'orange blossom', 'sichuan pepper', 'bergamot', 'iris', 'bulgarian rose', 'heliotrope', 'orris root', 'egyptian jasmine', 'lily-of-the-valley', 'musk', 'green tea', 'woody notes', 'sandalwood', 'vanilla', 'amber', 'benzoin', 'styrax', 'cedar']"
825,mineral,"['saffron', 'mandarin orange', 'mineral notes', 'violet', 'akigalawood', 'osmanthus', 'woody notes', 'leather', 'vetiver']"
3708,herbal,"['champagne', 'pink pepper', 'orange', 'artemisia', 'rose', 'orange blossom', 'patchouli', 'musk', 'sandalwood']"
11774,citrus,"['citruses', 'bergamot', 'lemon', 'cedar', 'mandarin orange', 'iris', 'patchouli', 'vetiver', 'jasmine', 'rose', 'vanilla', 'incense', 'leather', 'opoponax', 'civet', 'sandalwood', 'tonka bean', 'musk']"
11482,sweet,"['lavender', 'pear', 'bergamot', 'whipped cream', 'coconut', 'praline', 'vanilla orchid', 'musk', 'woody notes']"
3541,ozonic,"['melon', 'white tea', 'arum lily', 'spun sugar', 'tahitian vanilla']"
15336,sweet,"['rum', 'dark chocolate', 'coffee', 'almond', 'heliotrope', 'caramel', 'sugar cane', 'sandalwood', 'vetiver']"
9039,animalic,"['agarwood (oud)', 'aldehydes', 'bergamot', 'amber', 'rose', 'civetta', 'leather', 'patchouli', 'musk']"
2512,fruity,"['peach', 'rose', 'apricot blossom', 'lilac', 'pineapple', 'lily-of-the-valley', 'bergamot', 'rose', 'iris', 'heliotrope', 'jasmine', 'peach', 'apricot', 'vanilla', 'sandalwood', 'amber', 'musk']"
10559,aquatic,"['watery notes', 'tea', 'driftwood']"
5460,fresh spicy,"['ginger', 'pepper', 'black basil', 'sage', 'cedar', 'amber', 'suede', 'brazilian redwood', 'patchouli']"
7676,vanilla,"['rum', 'passionfruit', 'gardenia', 'musk', 'vanille', 'tonka bean']"
1954,fresh,"['aldehydes', 'ozonic notes', 'watery notes', 'ginger', 'green notes', 'floral notes', 'mint', 'pepper', 'musk', 'vetiver', 'incense']"
5749,floral,"['lotus', 'melon', 'freesia', 'rose water', 'rose', 'calone', 'cyclamen', 'lily-of-the-valley', 'lily', 'water peony', 'carnation', 'musk', 'tuberose', 'exotic woods', 'osmanthus', 'cedar', 'sandalwood', 'amber']"
19156,warm spicy,"['cinnamon', 'mandarin orange', 'lavender', 'lemon', 'fruity notes', 'incense', 'cumin', 'red cedar', 'tobacco', 'vanilla', 'cedar', 'leather', 'benzoin', 'iso e super', 'cypress', 'patchouli']"
5264,patchouli,"['amalfi lemon', 'cornflower or sultan seeds', 'pink pepper', 'patchouli', 'vanille']"
2797,lavender,"['lavender', 'bergamot', 'mint', 'clove', 'lily-of-the-valley', 'cinnamon', 'amber', 'patchouli', 'myrhh']"
12171,woody,"['bamboo', 'pear', 'lotus', 'tea', 'cassia', 'musk', 'guaiac wood', 'oakmoss']"
12915,ozonic,"['melon', 'tonic water', 'gin', 'violet leaf', 'sichuan pepper', 'citruses', 'musk', 'suede', 'amber']"
21305,sweet,"['white honey', 'tobacco', 'vanille', 'cacao', 'patchouli', 'amber', 'french labdanum', 'styrax']"
18514,earthy,"['aldehydes', 'coriander', 'gardenia', 'green notes', 'lemon', 'carnation', 'narcissus', 'orris root', 'rose', 'jasmine', 'lily-of-the-valley', 'leather', 'oakmoss', 'vetiver', 'patchouli', 'amber', 'coconut', 'tonka bean']"
12266,ozonic,"['watermelon', 'cucumber', 'kiwi', 'nectarine', 'lime (linden blossom)', 'jasmine', 'honeysuckle', 'lily-of-the-valley', 'vetiver', 'woodsy notes', 'musk']"
11467,almond,"['magnolia', 'calabrian bergamot', 'orange blossom', 'green almond', 'vanilla']"
14392,almond,"['almond', 'orange blossom', 'petitgrain', 'bergamot', 'heliotrope', 'iris', 'ylang-ylang', 'jasmine', 'rose', 'vanilla', 'tonka bean', 'tolu balsam', 'peru balsam', 'musk']"
17033,powdery,"['lime', 'bergamot', 'tuberose', 'pear', 'mandarin orange', 'pineapple', 'heliotrope', 'orris root', 'jasmine', 'lily-of-the-valley', 'sandalwood', 'vanilla', 'musk', 'almond', 'tonka bean', 'cedar', 'amber']"
7000,aldehydic,"['aldehydes', 'rose', 'orange blossom', 'hawthorn', 'musk', 'sandalwood']"
3609,coconut,"['palm leaf', 'gardenia', 'coconut', 'sea salt', 'vanilla', 'sandalwood', 'virginia cedar', 'benzoin']"
1140,white floral,"['white lily', 'hiacynth', 'honeysuckle', 'galbanum', 'orange blossom', 'lavender', 'bergamot', 'black currant', 'lemon', 'lily', 'lily-of-the-valley', 'moroccan jasmine', 'carnation', 'honeysuckle', 'tuberose', 'ylang-ylang', 'iris', 'rose', 'orris root', 'oakmoss', 'incense', 'musk', 'leather', 'sandalwood', 'vetiver', 'cedar', 'patchouli', 'amber']"
18389,fresh,"['litchi', 'ginger', 'bergamot', 'peony', 'turkish rose', 'cacao', 'patchouli']"
8982,animalic,"['rhubarb', 'raspberry', 'amyl salicylate', 'rose', 'leather', 'animal notes', 'oakmoss', 'cedar']"
2101,nutty,"['cherry', 'melon', 'raspberry', 'red rose', 'peony', 'orange blossom', 'hazelnut', 'musk', 'amber']"
1270,coca-cola,"['coca-cola', 'lime', 'cinnamon', 'apple', 'nutmeg', 'cedar', 'amberwood']"
7404,patchouli,"['plum', 'italian mandarin', 'pink pepper', 'rose', 'jasmine', 'lily-of-the-valley', 'patchouli', 'vanilla', 'white musk']"
12503,sweet,"['lavender', 'mint', 'fruity', 'spicy notes', 'coriander', 'green notes', 'bergamot', 'caramel', 'patchouli', 'honey', 'milk', 'cedar', 'jasmine', 'lily-of-the-valley', 'coffee', 'patchouli', 'vanilla', 'tonka bean', 'benzoin', 'amber', 'sandalwood', 'musk']"
14876,smoky,"['smoke', 'pineapple', 'grapefruit', 'olibanum', 'atlas cedar', 'clary sage', 'leather', 'tonka bean', 'patchouli']"
19687,citrus,"['mandarin orange', 'madagascar pepper', 'lemon', 'chinotto', 'rosemary', 'geranium', 'rose', 'pepperwood\x99', 'vanilla', 'tonka bean', 'sandalwood', 'texas cedar', 'patchouli', 'oakmoss']"
21152,animalic,"['tobacco', 'cacao', 'vanilla', 'osmanthus', 'benzoin', 'dried fruits', 'kopi luwak coffee', 'almond', 'coffee', 'leather', 'immortelle', 'whiskey', 'black elder', 'jasmine sambac', 'marigold', 'rose', 'castoreum', 'patchouli', 'ambergris', 'civet', 'spices', 'woody notes', 'muskrat', 'hyrax', 'musk', 'propolis']"
18765,nutty,"['butter', 'salt', 'toast', 'cookie dough', 'hazelnut cocoa spread', 'hazelnut']"
16211,aromatic,"['grapefruit', 'mandarin orange', 'sea water', 'juniper', 'musk', 'amberwood']"
3572,mineral,"['mineral notes', 'citruses', 'italian lemon', 'green leaves', 'calabrian bergamot', 'pebbles', 'sage', 'orris', 'geranium', 'woody notes', 'musk', 'amber', 'sandalwood', 'patchouli']"
21258,patchouli,"['violet leaf', 'coriander', 'bergamot', 'rose', 'black pepper', 'lily-of-the-valley', 'patchouli', 'ambergris', 'bourbon vanilla']"
13816,tuberose,"['bergamot', 'tuberose', 'violet', 'rose', 'patchouli']"
7141,fresh,"['watery notes', 'violet', 'melon', 'wildflowers', 'solar notes', 'jasmine', 'orange blossom', 'violet', 'iris', 'white musk']"
12460,fresh,"['tea', 'cranberry', 'amalfi lemon', 'peony', 'jasmine', 'water lily', 'woodsy notes', 'patchouli']"
11525,smoky,"['grapefruit', 'smoke', 'juniper', 'leather', 'vetiver']"
16489,amber,"['oregano', 'pepper', 'bergamot', 'incense', 'opoponax', 'amber', 'labdanum', 'agarwood (oud)', 'leather', 'sandalwood', 'patchouli']"
14732,patchouli,"['italian mandarin', 'rose', 'egyptian jasmine', 'patchouli', 'musk']"
17490,fresh spicy,"['bergamot', 'sichuan pepper', 'lavender', 'star anise', 'nutmeg', 'ambroxan', 'vanilla']"
5508,soft spicy,"['licorice', 'lemon', 'patchouli', 'amber', 'floral notes', 'vetiver', 'white musk']"
21821,animalic,"['turkish rose', 'indian oud', 'woodsy notes', 'exotic spices', 'cambodian oud', 'amber', 'rose', 'animal notes', 'musk', 'powdery notes']"
7670,floral,"['white musk', 'peony', 'freesia', 'green notes', 'peach', 'plum', 'lily', 'lily-of-the-valley', 'green grass', 'jasmine', 'ylang-ylang', 'rose', 'coffee', 'vanilla', 'sandalwood', 'coriander', 'incense', 'tonka bean', 'cedar']"
5054,animalic,"['thyme', 'rose petals', 'ylang-ylang', 'cumin', 'labdanum', 'sweat', 'animal notes', 'sandalwood']"
18606,fresh spicy,"['sichuan pepper', 'cardamom', 'bergamot', 'neroli', 'tobacco leaf', 'incense', 'juniper berries', 'leather', 'cypriol oil or nagarmotha', 'tonka bean', 'musk']"
14260,nutty,"['wheat', 'pear', 'anise', 'clove', 'iris', 'rice', 'hazelnut', 'white musk', 'amber']"
10553,floral,"['bergamot', 'goji berries', 'pomegranate', 'hibiscus', 'water lily', 'musk', 'virginia cedar']"
20260,tobacco,"['cinnamon', 'pepperwood or hercules club', 'tobacco', 'osmanthus', 'olibanum', 'labdanum', 'vanilla', 'patchouli', 'musk', 'vetiver', 'cedar']"
11910,tuberose,"['plum', 'cinnamon', 'elemi', 'tuberose', 'ylang-ylang', 'rose', 'vanilla', 'vetiver', 'musk', 'ambroxan']"
9918,fruity,"['plum', 'wild berries', 'coriander', 'anise', 'brazilian rosewood', 'tuberose', 'incense', 'white honey', 'cinnamon', 'opoponax', 'carnation', 'jasmine', 'african orange flower', 'rose', 'vanille', 'amber', 'sandalwood', 'heliotrope', 'musk', 'vetiver', 'virginia cedar']"
4595,honey,"['rum', 'davana', 'honey', 'bran', 'cinnamon', 'vanilla', 'cacao', 'sandalwood']"
15331,leather,"['green tea', 'bergamot', 'rose', 'sandalwood', 'cedar', 'jasmine', 'leather', 'vanilla', 'amber', 'musk', 'oakmoss']"
2524,musky,"['aldehydes', 'coriander', 'clary sage', 'artemisia', 'bergamot', 'patchouli', 'carnation', 'geranium', 'vetiver', 'cinnamon', 'jasmine', 'orris root', 'lavender', 'civet', 'honey', 'leather', 'musk', 'oakmoss', 'amber', 'tonka bean', 'vanilla']"
17159,coconut,"['coconut', 'red apple', 'mandarin orange', 'jasmine', 'freesia', 'magnolia', 'cotton flower', 'sandalwood']"
12742,violet,"['violet leaf', 'violet', 'iris', 'african orange flower', 'lily-of-the-valley', 'jasmine', 'vetyver', 'nutmeg', 'sandalwood', 'raspberry']"
15391,lavender,"['grapefruit', 'pink pepper', 'lavender', 'vetyver', 'vanille', 'amber']"
21730,vanilla,"['lavender', 'mint', 'vanilla', 'benzoin', 'honey', 'tonka bean', 'tobacco']"
8938,aquatic,"['watery notes', 'almond', 'spices', 'neroli', 'coumarin', 'vetiver', 'patchouli']"
3576,animalic,"['saffron', 'ylang-ylang', 'cardamom', 'geranium', 'leather', 'egyptian jasmine', 'labdanum', 'animal notes', 'patchouli']"
6522,woody,"['pomegranate', 'persimmon', 'green accord', 'black orchid', 'lotus', 'champaca', 'mahogany', 'amber', 'black violet', 'whipped cream']"
13684,tobacco,"['spices', 'mate', 'citruses', 'mandarin orange', 'flowers', 'tobacco', 'immortelle', 'labdanum', 'vetiver', 'patchouli', 'mate', 'tobacco', 'leather', 'exotic woods', 'amber', 'vanilla', 'tonka bean', 'musk']"
10348,green,"['mint', 'bergamot', 'grapefruit', 'lavender', 'granny smith apple', 'cranberry', 'rose', 'cotton flower', 'cactus', 'amber']"
14788,warm spicy,"['saffron', 'ginger', 'sicilian mandarin', 'sicilian bergamot', 'amberwood', 'moroccan rose', 'egyptian jasmine', 'indonesian patchouli leaf', 'madagascar vanilla', 'white musk', 'sandalwood', 'oakmoss']"
15934,earthy,"['mandarin orange', 'melon', 'jasmine', 'peach', 'ylang-ylang', 'oakmoss', 'vetiver']"
1019,rose,"['pink pepper', 'pear', 'grapefruit', 'rose', 'peony', 'geranium', 'vanilla', 'musk', 'tonka bean']"
16814,salty,"['mandarin orange', 'jasmine', 'ginger', 'lily', 'salt', 'vanilla', 'ambergris', 'sandalwood']"
18676,oud,"['black pepper', 'bitter orange', 'neroli', 'saffron', 'cardamom', 'olibanum', 'agarwood (oud)', 'patchouli', 'leatherwood']"
7477,floral,"['rose', 'mimosa', 'hiacynth', 'geranium', 'green notes', 'nasturtium', 'orange blossom', 'hawthorn', 'cassia', 'bergamot', 'rose', 'violet', 'lily', 'lime blossom', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'orris root', 'iris', 'musk', 'heliotrope', 'sandalwood', 'oakmoss', 'amber', 'cedar']"
4415,cherry,"['black cherry', 'raspberry', 'jasmine', 'rose', 'mimosa', 'vanilla', 'birch', 'vetiver']"
16030,woody,"['black currant', 'pink pepper', 'bergamot', 'jasmine', 'jasmine sambac', 'jasmine tea', 'bourbon vanilla', 'cashmeran', 'guaiac wood']"
11553,musky,"['bergamot', 'lemon', 'seaweed', 'calone', 'hedione', 'musk', 'ambroxan', 'cedar']"
11720,white floral,"['honeysuckle', 'tangerine', 'rose', 'jasmine', 'tiare flower', 'peony', 'clementine', 'musk', 'sandalwood', 'patchouli']"
3948,citrus,"['bergamot', 'ginger', 'mandarin orange', 'cardamom', 'lily', 'jasmine', 'violet leaf', 'pink pepper', 'rose', 'peony', 'black currant', 'woody notes', 'oakmoss', 'white musk', 'palisander rosewood', 'amber', 'vanilla', 'praline']"
10276,white floral,"['nutmeg', 'gardenia', 'african orange flower', 'green notes', 'bergamot', 'tuberose', 'jasmine', 'honeysuckle', 'iris', 'peony', 'mace', 'vanilla', 'amber', 'woodsy notes', 'guaiac wood', 'virginia cedar']"
6945,aquatic,"['watery notes', 'grapefruit', 'raspberry', 'peony', 'jasmine', 'iris', 'pink pepper', 'suede', 'cedar', 'amber']"
18657,lavender,"['metallic notes', 'aldehydes', 'cardamon', 'black pepper', 'water notes', 'violet leaf', 'ginger', 'neroli', 'lavender', 'beeswax', 'leather', 'lime (linden blossom)', 'cyclamen', 'oakmoss', 'honey', 'woody notes', 'amber', 'tonka bean', 'patchouli', 'vanilla', 'white musk', 'myrrh', 'cedar', 'gurjan balsam']"
10324,cinnamon,"['peach', 'citruses', 'plum', 'bergamot', 'mandarin orange', 'cinnamon', 'jasmine', 'lily-of-the-valley', 'vanille', 'sandalwood', 'amber', 'musk']"
18798,aromatic,"['myrhh', 'clary sage', 'coriander', 'bergamot', 'lime', 'amalfi lemon', 'rose', 'thyme', 'basil', 'jasmine', 'castoreum', 'oakmoss', 'patchouli', 'french labdanum']"
13840,musky,"['plum', 'musk', 'heliotrope', 'suede']"
19632,fresh,"['litchi', 'cassis', 'mandarin orange', 'water lily', 'peony', 'jasmine', 'ambroxan', 'praline', 'musk', 'vanilla', 'oak moss']"
20561,woody,"['rosemary', 'pink pepper', 'petitgrain', 'jasmine', 'neroli', 'orris root', 'ylang-ylang', 'sandalwood', 'vetiver', 'cedar', 'patchouli']"
7611,lactonic,"['chestnut', 'whipped cream', 'cumin', 'tuberose', 'geranium', 'cypress', 'milk', 'vanilla pod', 'musk', 'tonka bean']"
19567,tobacco,"['ginger', 'saffron', 'coriander', 'heliotrope', 'tobacco', 'agarwood (oud)', 'amberwood', 'olibanum', 'bourbon vanilla', 'cedar', 'musk', 'labdanum']"
6433,earthy,"['fennel', 'mint', 'green notes', 'clary sage', 'oakmoss', 'fern', 'angelica', 'clover', 'galbanum', 'violet leaf', 'mastic or lentisque', 'oakmoss', 'soil tincture', 'boletus edulis', 'chestnut', 'vetiver', 'resins', 'pine tree needles', 'labdanum', 'leather']"
17954,coffee,"['lavender', 'bergamot', 'green leaves', 'coffee', 'cedar', 'vanilla', 'patchouli', 'tonka bean', 'amber']"
12843,oud,"['almond', 'aldehydes', 'anise', 'rose', 'agarwood', 'leather', 'musk', 'vanilla', 'heliotrope', 'cedar']"
19574,ozonic,"['watermelon', 'peach', 'bergamot', 'plum', 'violet', 'pine tree needles', 'mint', 'galbanum', 'carnation', 'cyclamen', 'hiacynth', 'lily', 'jasmine', 'rose', 'oakmoss', 'leather', 'cedar', 'musk', 'amber']"
16048,lavender,"['petitgrain', 'bergamot', 'lavender', 'tonka bean', 'vetiver', 'patchouli', 'labdanum', 'agarwood (oud)', 'musk']"
19786,citrus,"['lemon verbena', 'iris', 'violet leaf', 'ambergris', 'sandalwood']"
15649,warm spicy,"['grapefruit', 'bergamot', 'orange', 'rose', 'geranium', 'jasmine', 'narcissus', 'peach', 'patchouli', 'sandalwood', 'olibanum', 'tonka bean', 'vanille', 'white musk', 'cloves', 'benzoin']"
11195,patchouli,"['pineapple leaf', 'mandarin orange', 'bergamot', 'jasmine', 'brazilian rosewood', 'patchouli', 'vanilla', 'musk']"
8643,yellow floral,"['bergamot', 'petitgrain', 'lime (linden) blossom', 'lily-of-the-valley', 'tarragon', 'jasmine', 'rose', 'beeswax']"
9248,earthy,"['black pepper', 'sage', 'truffle', 'woodsy notes', 'vanila', 'frankincense']"
15043,fruity,"['raspberry', 'bergamot', 'orange', 'pepper', 'vetiver', 'magnolia', 'sandalwood', 'amber', 'musk']"
11256,musky,"['dew drop', 'green leaves', 'clove', 'bluebell', 'persimmon', 'peach', 'musk', 'powdery notes']"
12519,animalic,"['animal notes', 'woody notes', 'violet', 'leather', 'incense', 'cade oil', 'labdanum', 'cedar', 'patchouli', 'vanilla']"
5667,balsamic,"['absinthe', 'bergamot', 'lemon', 'peru balsam', 'orange blossom', 'spices', 'carnation', 'musk']"
19940,coca-cola,"['coca-cola', 'mandarin orange', 'jasmine', 'tuberose', 'tonka bean', 'sandalwood', 'amber']"
5553,almond,"['almond milk', 'bergamot', 'pink pepper', 'heliotrope', 'jasmine sambac', 'carnation', 'sandalwood', 'cashmere wood', 'benzoin']"
18394,anis,"['star anise', 'tobacco', 'amber', 'leather']"
20476,amber,"['bergamot', 'angelica', 'patchouli', 'coumarin', 'amber', 'musk']"
10143,coffee,"['apple', 'sea notes', 'mint', 'coffee', 'milk', 'amber', 'leather', 'cedar', 'sandalwood', 'ambergris', 'musk']"
251,tropical,"['mango', 'orange', 'ylang-ylang', 'jasmine', 'neroli', 'agarwood (oud)', 'oak moss', 'vetyver', 'virginia cedar']"
7119,floral,"['lime (linden blossom)', 'lily-of-the-valley', 'lilac', 'magnolia', 'bergamot', 'mandarin orange', 'jasmine', 'tuberose', 'ylang-ylang', 'peach', 'bulgarian rose', 'violet', 'carnation', 'nutmeg', 'musk', 'iris', 'sandalwood', 'amber', 'vanilla', 'cloves']"
21507,vanilla,"['apple', 'cinnamon', 'wild lavender', 'bergamot', 'orange blossom', 'lily-of-the-valley', 'vanilla', 'tonka bean', 'amber', 'patchouli']"
3496,warm spicy,"['carnation', 'aldehydes', 'rose', 'neroli', 'brazilian rosewood', 'peach', 'bergamot', 'carnation', 'cloves', 'gardenia', 'jasmine', 'ylang-ylang', 'rose', 'violet', 'orris root', 'rosemary', 'orchid', 'spices', 'iris', 'oakmoss', 'musk', 'sandalwood', 'benzoin', 'amber', 'vetiver', 'cedar']"
13119,white floral,"['jasmine', 'orange', 'bergamot', 'sicilian mandarin', 'gardenia', 'orange blossom', 'sandalwood', 'white amber', 'cedar', 'white musk']"
17093,coffee,"['lavender', 'citruses', 'cappuccino', 'cedar', 'vanilla']"
4498,white floral,"['jasmine', 'tuberose', 'rangoon creeper']"
19553,fresh spicy,"['juniper', 'black pepper', 'bergamot', 'cinnamon', 'iris', 'orange blossom', 'vanilla', 'amber', 'vetiver']"
12386,salty,"['lemon', 'water notes', 'sea salt', 'peach', 'musk', 'cedar']"
16026,cherry,"['bitter almond', 'black cherry', 'cherry liqueur', 'sour cherry', 'plum', 'turkish rose', 'jasmine sambac', 'vanilla', 'tonka bean', 'cinnamon', 'peru balsam', 'benzoin', 'sandalwood', 'cloves', 'cedar', 'patchouli', 'vetiver']"
3124,white floral,"['litchi', 'bergamot', 'peach', 'peony', 'orange blossom', 'jasmine', 'petalia', 'musk', 'moss', 'woody notes']"
12242,lavender,"['pepper', 'orange blossom', 'patchouli', 'lavender', 'coffee', 'milk', 'tonka bean', 'siam benzoin', 'cypriol oil or nagarmotha', 'vanilla', 'cedar', 'vetiver']"
9664,white floral,"['truffle', 'bergamot', 'strawberry', 'jasmine', 'tuberose', 'african orange flower', 'vanille', 'amber', 'virginia cedar']"
6858,leather,"['patchouli', 'birch', 'styrax', 'vanilla']"
11721,fresh spicy,"['violet leaf', 'artemisia', 'mandarin orange', 'white pepper', 'cedar', 'nutmeg', 'white musk', 'tonka bean', 'vetiver']"
11197,sweet,"['almond', 'lime', 'pear', 'candied almond', 'sugar', 'peony', 'vanilla', 'tonka bean', 'amber', 'mahogany']"
21139,animalic,"['peach', 'bergamot', 'aldehydes', 'cambodian oud', 'carnation', 'patchouli', 'angelica', 'russian leather', 'musk', 'amber', 'oakmoss', 'patchouli']"
19324,vanilla,"['chestnut', 'sugar', 'sage', 'lavender', 'vanilla', 'smoke']"
12480,patchouli,"['lavender', 'bergamot', 'patchouli', 'bulgarian rose', 'white musk', 'ambroxan', 'vanilla', 'labdanum', 'tonka bean']"
21755,vanilla,"['pink pepper', 'juniper', 'violet', 'toffee', 'cinnamon', 'lavender', 'sage', 'vanilla', 'amber', 'tonka bean', 'suede']"
9717,smoky,"['tea leaf', 'black pepper', 'cardamom', 'whiskey', 'incense', 'opium', 'birch', 'tobacco', 'agarwood (oud)']"
18479,smoky,"['incense', 'pimento', 'bergamot', 'rose', 'leather', 'tobacco', 'guaiac wood', 'cashmere wood', 'musk']"
12277,citrus,"['bergamot', 'citruses', 'green mandarin', 'fig', 'pear', 'cardamom', 'lily', 'jasmine', 'narcissus', 'virginia cedar', 'musk', 'olive tree', 'sandalwood']"
15979,soft spicy,"['anise', 'licorice', 'violet', 'ivy', 'wormwood', 'basil', 'rum', 'tonka bean', 'almond', 'sandalwood', 'vanilla', 'praline', 'vetiver', 'cedar', 'labdanum']"
8282,fresh,"['lemon', 'pear', 'violet leaf', 'black currant', 'peony', 'jasmine sambac', 'jasmine', 'cedar', 'cashmere wood']"
14157,sweet,"['pear', 'tangerine', 'bergamot', 'strawberry', 'vanilla orchid', 'black rose', 'passionfruit', 'praline', 'caramel', 'litchi', 'vanilla', 'patchouli', 'incense', 'coffee', 'licorice', 'coumarin', 'papyrus']"
19310,fresh spicy,"['black pepper', 'cardamom', 'caraway', 'rose', 'nutmeg', 'sandalwood']"
12853,fresh spicy,"['lavender', 'apple', 'black pepper', 'coriander', 'tonka bean', 'labdanum']"
15966,herbal,"['petitgrain', 'neroli', 'chamomile', 'basil']"
4962,marine,"['rose petals', 'lemon', 'bergamot', 'rose', 'salt', 'lime (linden) blossom', 'grass', 'sea water', 'musk', 'oakmoss']"
5797,aromatic,"['lavender', 'clary sage', 'leather', 'bitter almond', 'vanilla', 'orris', 'leather', 'tonka bean', 'cashmeran', 'white woods', 'amber']"
1086,white floral,"['rhubarb', 'violet leaf', 'lily-of-the-valley', 'rose', 'oakmoss', 'patchouli', 'musk']"
300,metallic,"['black pepper', 'bergamot', 'cardamom', 'labdanum', 'henna', 'metallic notes', 'ozonic notes', 'iris', 'suede', 'animal notes', 'cedar', 'saffron']"
12655,herbal,"['grass', 'green notes', 'heather', 'artemisia', 'arnica', 'leather', 'vetiver', 'vanille']"
