embedding_id,all_notes,mainaccord1,target_description
11249,"['grapefruit', 'lemon', 'watery notes', 'white flowers', 'gardenia', 'green notes', 'sweet pea', 'musk', 'woody notes']",citrus,"It smells like fresh citrus and wet stems, then creamy white flowers with a soft, clean musk that fades into pale wood."
19956,"['green notes', 'watery notes', 'mint', 'ginger', 'coconut', 'fig', 'salt', 'tonka bean', 'sandalwood']",green,"It smells like standing in a humid greenhouse after rain, where mint leaves crush underfoot near potted fig trees, while someone's applied coconut sunscreen mixed with sea spray."
21579,"['iris', 'amber', 'patchouli', 'tonka bean', 'leather', 'sandalwood']",iris,"It smells like an old leather jacket draped over a wooden chair in a dusty library, with something sweet and powdery lingering in the air like vanilla cookies left on a shelf."
12503,"['lavender', 'mint', 'fruity', 'spicy notes', 'coriander', 'green notes', 'bergamot', 'caramel', 'patchouli', 'honey', 'milk', 'cedar', 'jasmine', 'lily-of-the-valley', 'coffee', 'patchouli', 'vanilla', 'tonka bean', 'benzoin', 'amber', 'sandalwood', 'musk']",sweet,"It smells like lavender and mint over something sweet and milky, with coffee, vanilla, and warm resinous woods anchoring everything below."
10232,"['black currant', 'davana', 'tuberose', 'vanilla absolute', 'myrrh']",tuberose,"It smells like overripe berries crushed into white flowers, with a dark, resinous sweetness that clings to your fingers."
11657,"['aldehydes', 'rose', 'oakmoss']",aldehydic,It smells like old lipstick from your grandmother's purse mixed with the stone walls of a cellar that hasn't been opened in years.
8756,"['milk', 'coconut', 'caramel']",lactonic,"It smells like the inside of a Thai dessert shop — sweet coconut cream drizzled with burnt sugar, milky and thick."
21270,"['beeswax', 'birch', 'cloves', 'cardamom', 'leather', 'turkish rose', 'orange blossom', 'jasmine', 'civet', 'beeswax', 'agarwood (oud)', 'sandalwood', 'amber', 'cedar', 'patchouli', 'vetiver', 'cypriol oil or nagarmotha', 'musk']",animalic,"It smells like waxy honey, worn leather, and powdery spices, with creamy white flowers giving way to smoky woods and something faintly animalic."
9580,"['bitter orange', 'lemon', 'damask rose', 'grasse rose', 'orange blossom', 'vanilla', 'almond', 'tonka bean', 'tolu balsam', 'sandalwood', 'cashmeran', 'heliotrope']",vanilla,"It smells like marzipan and rose water mixed together, the way a Middle Eastern bakery smells when someone's making almond pastries with orange blossom syrup drizzled on top."
12737,"['african orange flower', 'jasmine', 'white honey', 'patchouli', 'rose', 'virginia cedar']",white floral,"It smells like white flowers and honey at first, then earthy patchouli and dry cedar, with rose petals softening the edges."
12742,"['violet leaf', 'violet', 'iris', 'african orange flower', 'lily-of-the-valley', 'jasmine', 'vetyver', 'nutmeg', 'sandalwood', 'raspberry']",violet,"It smells like crushed violet stems and powdery iris root mixed with tart raspberry, all sitting on freshly turned earth with a hint of spice."
11286,"['mango', 'bergamot', 'pink pepper', 'jasmine', 'patchouli', 'frankincense', 'sandalwood', 'benzoin', 'musk']",tropical,"It smells like a tropical fruit stand next to an incense shop, where sweet mango juice mingles with woody temple smoke and something faintly peppery in the air."
12277,"['bergamot', 'citruses', 'green mandarin', 'fig', 'pear', 'cardamom', 'lily', 'jasmine', 'narcissus', 'virginia cedar', 'musk', 'olive tree', 'sandalwood']",citrus,"It smells like a Mediterranean garden at dawn — juicy pear and fig mingling with white flowers, backed by the dry, silvery scent of olive branches and cedarwood."
9651,"['rose', 'chamomile', 'ginger', 'lemon', 'yellow freesia', 'lily', 'lotus', 'white violet', 'carnation', 'white musk', 'oakmoss', 'exotic woods', 'patchouli']",floral,"It smells like a florist's cooler mixed with herbal tea and damp tree bark, with a slight spicy bite that fades into something powdery and earthy."
19497,"['aldehydes', 'jasmine', 'rose', 'iris', 'vanilla', 'woodsy notes']",aldehydic,"It smells like powdery flowers and clean soap at first, then settles into soft vanilla with a dry, slightly wooden base."
20859,"['anise', 'ivy', 'licorice', 'myrrh', 'agarwood (oud)', 'woody notes', 'vetiver', 'olive tree']",soft spicy,"It smells like the inside of an old apothecary cabinet — black licorice root next to dried wood chips, with something green and slightly bitter creeping through."
19738,"['lemon', 'cinnamon', 'honey', 'caramel', 'vanilla', 'patchouli']",honey,"It smells like a spiced honey cake left on a wooden counter, sweetened with burnt sugar and a hint of earthy depth from old wood."
14469,"['saffron', 'cinnamon', 'agarwood (oud)', 'rose', 'agarwood (oud)', 'amber', 'cedarwood']",oud,"It smells like spiced wood smoke, dried roses, and warm resinous amber — rich, slightly medicinal, with a deep incense-like quality."
1526,"['white peach', 'sicilian mandarin', 'ylang-ylang', 'jasmine', 'benzoin', 'cedar']",yellow floral,"It smells like sweet peach and bright citrus at first, then creamy white flowers take over, settling into soft wood and warm vanilla-like resin."
10873,"['cacao', 'dark chocolate', 'tobacco', 'tonka bean', 'musk', 'woodsy notes']",cacao,"It smells like opening a humidor in an old library — dark cocoa powder mixed with dried tobacco leaves, sweetened by vanilla-like warmth and backed by aged wood."
3449,"['sea salt', 'lemon', 'pink pepper', 'jasmine', 'seagrass', 'bay leaf', 'salt', 'caramel', 'brown sugar', 'cedar']",caramel,"It smells like salted citrus and green herbs at first, then white flowers and something sweet like burnt sugar, with dry wood underneath."
14781,"['anise', 'cherry', 'violet', 'orris root', 'licorice', 'white musk', 'tonka bean']",soft spicy,"It smells like a handful of black jelly beans mixed with maraschino cherries, then dusted with face powder — sweet, slightly medicinal, and oddly comforting."
21173,"['aldehydes', 'black currant', 'lavender', 'basil', 'bergamot', 'mandarin orange', 'lemon', 'lily-of-the-valley', 'magnolia', 'iris', 'fir']",fresh,"It smells like sharp citrus peel and soapy flowers, with a cool herbal edge and something green and slightly resinous underneath."
2770,"['cyclamen', 'ginger', 'coconut', 'tiare flower', 'jasmine', 'musk']",coconut,"It smells like a tropical hotel lobby at night — white flowers blooming near the entrance, someone's sunscreen-scented towel draped over a chair, and the faint spice from the bar's ginger cocktails drifting through."
2365,"['cherry', 'pink pepper', 'bergamot', 'violet', 'freesia', 'jasmine', 'tonka bean', 'vanilla', 'amber', 'sandalwood']",cherry,"It smells like maraschino cherries mixed with powdered sugar and a hint of black peppercorn, then settles into the scent of a florist's cooler with sweet wooden undertones."
3541,"['melon', 'white tea', 'arum lily', 'spun sugar', 'tahitian vanilla']",ozonic,"It smells like the inside of a high-end spa mixed with cotton candy — clean and soft at first, then surprisingly sweet, like vanilla ice cream melting over honeydew."
12171,"['bamboo', 'pear', 'lotus', 'tea', 'cassia', 'musk', 'guaiac wood', 'oakmoss']",woody,"It smells like a wet bamboo garden after rain, where overripe pears have fallen near a pond and someone's brewing weak tea nearby."
11467,"['magnolia', 'calabrian bergamot', 'orange blossom', 'green almond', 'vanilla']",almond,"It smells like creamy magnolia and orange blossoms, with a subtle almond sweetness and soft vanilla underneath."
17643,"['cherry', 'saffron', 'black pepper', 'black leather', 'violet', 'jasmine', 'tonka bean', 'palo santo', 'patchouli', 'heliotrope']",cherry,"It smells like cherry cough syrup mixed with worn leather gloves, spiced with something sharp and peppery, then softened by powdery florals and sweet wood smoke."
13729,"['star anise', 'bergamot', 'brazilian rosewood', 'caraway', 'fennel', 'iris', 'jasmine', 'vanilla', 'musk', 'amber']",anis,"It smells like the inside of an old spice cabinet mixed with powdery lipstick and sweet cookies, unexpectedly softened by something that reminds you of your grandmother's dresser drawer."
6564,"['pomegranate', 'blood mandarin', 'tea', 'tuberose', 'freesia', 'sandalwood', 'musk']",tuberose,"It smells like tart pomegranate juice and citrus peel at first, then white flowers and milky tea, finishing with soft wood and clean skin."
8743,"['african orange flower', 'peony', 'bergamot', 'milk', 'almond', 'tonka bean', 'jasmine', 'musk', 'guaiac wood']",lactonic,"It smells like orange blossoms drifting through an almond bakery, softened by creamy milk and a hint of the woody musk left on clothes after visiting someone's grandmother."
20260,"['cinnamon', 'pepperwood or hercules club', 'tobacco', 'osmanthus', 'olibanum', 'labdanum', 'vanilla', 'patchouli', 'musk', 'vetiver', 'cedar']",tobacco,It smells like the wooden counter of an old apothecary shop where dried tobacco leaves sit next to jars of sweet spices and resinous incense sticks.
14843,"['tangerine', 'bitter orange', 'passionfruit', 'mango', 'peony', 'amber', 'orchid', 'vanilla']",tropical,"It smells like a fruit stand in summer heat — tangy tropical juice mixed with powder from white flowers, settling into something slightly sticky and sweet."
5060,"['pomelo', 'bergamot', 'grapefruit', 'apricot', 'praline', 'nutmeg', 'jasmine', 'peony', 'milk', 'vanilla', 'sandalwood', 'amber', 'white musk']",lactonic,"It smells like a creamy apricot dessert dusted with nutmeg, sitting next to white flowers on a sandalwood table — sweet and slightly powdery, with citrus brightness fading into milky softness."
2412,"['neroli', 'orange blossom', 'grapefruit', 'jasmine', 'rose', 'tuberose', 'musk', 'sandalwood', 'orris root', 'amber', 'vanilla']",white floral,"It smells like white flowers and citrus peel at first, then settles into creamy vanilla and soft wood with a clean, slightly powdery warmth."
17965,"['brazilian rosewood', 'coriander', 'mahogany', 'sicilian mandarin', 'cinnamon', 'damask rose', 'carnation', 'sandalwood', 'tobacco', 'vanilla', 'leather', 'amber', 'ambrette (musk mallow)']",woody,"It smells like dark wood and spice, with dried tobacco leaves, soft leather, and a warm sweetness from vanilla and amber underneath."
9664,"['truffle', 'bergamot', 'strawberry', 'jasmine', 'tuberose', 'african orange flower', 'vanille', 'amber', 'virginia cedar']",white floral,"It smells like earthy mushroom and sweet berries at first, then heavy white flowers take over, finishing with soft vanilla and warm wood."
12936,"['watermelon', 'lavender', 'bergamot', 'lotus', 'jasmine', 'musk', 'sandalwood', 'amber']",ozonic,"It smells like fresh watermelon and lavender soap at first, then soft white flowers, finishing with warm wood and a clean, powdery musk."
7611,"['chestnut', 'whipped cream', 'cumin', 'tuberose', 'geranium', 'cypress', 'milk', 'vanilla pod', 'musk', 'tonka bean']",lactonic,It smells like a bakery next to a flower shop — sweet roasted chestnuts and vanilla cream pastries mixing with waxy white flowers and a hint of earthy spice from the garden outside.
13212,"['violet leaf', 'pink pepper', 'mandarin orange', 'iris', 'orris root', 'jasmine', 'suede', 'benzoin', 'musk', 'vetiver', 'virginia cedar']",iris,"It smells like a powdery makeup compact opened near a pile of freshly pressed suede jackets, with something green and slightly peppery hovering in the air."
4520,"['bergamot', 'lemon', 'pink pepper', 'ylang-ylang', 'coconut milk', 'heliotrope', 'musk', 'benzoin', 'cedar']",yellow floral,"It smells like sunscreen mixed with powdery vanilla, with a sharp citrus burst that fades into something creamy and slightly woody."
3903,"['black currant', 'bergamot', 'peach', 'coffee', 'amber', 'floral notes', 'woody notes', 'sweet notes', 'white musk']",coffee,"It smells like the steam rising from a cappuccino in a fruit market — peaches and berries nearby, with something powdery and slightly woody lingering in the air."
10611,"['raspberry', 'rose', 'cassis', 'pink pepper', 'peony', 'jasmine', 'vanille', 'musk', 'virginia cedar']",fruity,"It smells like a berry tart left on a wooden table beside a bouquet of flowers, with a hint of soft powder and distant spice."
18751,"['tobacco leaf', 'bergamot', 'amber', 'birch', 'leather', 'vanilla', 'sandalwood', 'guaiac wood', 'cedar', 'musk']",tobacco,"It smells like sweet tobacco and worn leather, with a smoky-woody backbone and soft vanilla warmth cutting through the darker edges."
8584,"['strawberry', 'raspberry', 'blackberry', 'sour cherry', 'black currant', 'mandarin orange', 'lemon', 'violet', 'jasmine', 'musk', 'vanilla', 'cashmeran', 'woody notes', 'amber', 'oakmoss', 'patchouli']",fruity,"It smells like a fruit stand in summer rain — overripe berries crushed against wooden crates, with violet petals stuck to the boards and something mossy creeping up from underneath."
9901,"['aldehydes', 'ylang-ylang', 'neroli', 'lemon', 'bergamot', 'rose', 'iris', 'jasmine', 'orris root', 'lily-of-the-valley', 'civet', 'amber', 'sandalwood', 'musk', 'vanilla', 'oakmoss', 'patchouli', 'vetiver']",aldehydic,"It smells like expensive bar soap from your grandmother's guest bathroom — powdery and slightly waxy, with hints of old lipstick and the mustiness of vintage silk scarves stored in wooden drawers."
19574,"['watermelon', 'peach', 'bergamot', 'plum', 'violet', 'pine tree needles', 'mint', 'galbanum', 'carnation', 'cyclamen', 'hiacynth', 'lily', 'jasmine', 'rose', 'oakmoss', 'leather', 'cedar', 'musk', 'amber']",ozonic,"It smells like sweet fruit punch and fresh flowers at first, then dries down to something woody and slightly leathery with a clean, powdery finish."
2101,"['cherry', 'melon', 'raspberry', 'red rose', 'peony', 'orange blossom', 'hazelnut', 'musk', 'amber']",nutty,"It smells like the sticky-sweet juice of maraschino cherries mixed with honeyed cantaloupe, followed by a powdery floral shop bouquet and toasted hazelnuts cooling on a counter."
17321,"['fruity notes', 'saffron', 'mate', 'thyme', 'cypress', 'green notes', 'rose', 'orris', 'jasmine', 'leather', 'amber', 'vetiver', 'musk', 'virginia cedar', 'vanille']",leather,"It smells like a leather jacket hanging in a greenhouse — roses and jasmine tangled with herbs, grounded by something smoky and sweet like burnt caramel on wood."
2082,"['geranium', 'lemon', 'pink pepper', 'animal notes', 'vetiver', 'sandalwood', 'earthy notes', 'labdanum', 'guaiac wood']",earthy,"It smells like a horse stable at dawn mixed with crushed peppercorns and citrus peel, gradually settling into smoky incense and dark tree roots."
14747,"['orris root', 'rum', 'iris', 'rose', 'jasmine', 'agarwood (oud)', 'woodsy notes', 'civetta']",iris,"It smells like powdery iris and dark roses, with boozy rum sweetness over dry wood and something faintly animalic."
11720,"['honeysuckle', 'tangerine', 'rose', 'jasmine', 'tiare flower', 'peony', 'clementine', 'musk', 'sandalwood', 'patchouli']",white floral,"It smells like standing near a blooming hedge on a humid summer evening while someone peels a clementine nearby, leaving a powdery sweetness hanging in the thick air."
13537,"['bergamot', 'mandarin orange', 'lavender', 'geranium', 'rose', 'patchouli', 'cedar', 'oakmoss', 'amber', 'labdanum', 'musk']",patchouli,"It smells like a barbershop after hours — lavender soap drying on the counter, wooden shelves, and the faint sweetness of shaving cream mixed with old leather chairs."
18798,"['myrhh', 'clary sage', 'coriander', 'bergamot', 'lime', 'amalfi lemon', 'rose', 'thyme', 'basil', 'jasmine', 'castoreum', 'oakmoss', 'patchouli', 'french labdanum']",aromatic,"It smells like a Mediterranean herb garden after rain, where crushed basil and thyme mingle with wet moss and resinous tree bark, then softens into something darker and slightly animalic underneath."
13419,"['lavender', 'rosemary', 'bergamot', 'lemon', 'clary sage', 'coriander', 'geranium', 'cedar', 'brazilian rosewood', 'heliotrope', 'rose', 'vanilla', 'musk', 'tonka bean', 'moss', 'amber']",lavender,It smells like a barbershop after hours — herbal shaving cream mixed with the sweetness of pipe tobacco and old wooden drawers lined with violet-scented paper.
10972,"['pink pepper', 'bergamot', 'indian mandarin', 'rose', 'heliotrope', 'almond']",almond,"It smells like a bakery window next to a flower shop — sugary almond pastries meeting peppery roses, with bright citrus cutting through the sweetness."
8749,"['star anise', 'pomelo', 'black pepper', 'geranium', 'iris', 'incense', 'patchouli', 'haitian vetiver', 'benzoin']",anis,"It smells like spiced citrus peel and black pepper at first, then powdery iris and smoky incense, with earthy vetiver and sweet resin underneath."
11781,"['pear', 'jasmine', 'honey']",honey,"It smells like ripe pear and white flowers, sweetened with a thick drizzle of honey."
3600,"['sea water', 'lilac', 'jasmine', 'rose', 'fenugreek', 'patchouli', 'musk', 'tonka bean', 'vanilla']",marine,"It smells like salty air and white flowers at first, then sweet vanilla and earthy patchouli, with a warm musky finish."
3833,"['star anise', 'peach', 'mandarin orange', 'orange blossom', 'heliotrope', 'jasmine', 'freesia', 'lily-of-the-valley', 'benzoin', 'amber', 'sandalwood', 'musk']",anis,"It smells like a sun-warmed peach orchard in full bloom, where the air carries sweet white flowers and a hint of licorice from wild fennel growing at the edges."
18974,"['bulgarian rose', 'coriander', 'peach', 'jasmine', 'mandarin orange', 'cloves', 'rose', 'orange blossom', 'mimosa', 'clover', 'amber', 'sandalwood', 'tonka bean', 'opoponax', 'civet', 'vanilla', 'labdanum']",amber,"It smells like a grandmother's vanity drawer where dried flowers rest against old spice tins, with something peachy and slightly sweaty lingering in the wood."
20102,"['rum', 'bergamot', 'tarragon', 'tobacco', 'ginger', 'rose', 'honey', 'beeswax', 'cinnamon', 'tonka bean', 'amberwood', 'leather']",honey,It smells like a well-worn leather jacket hanging in an old apothecary where jars of honey sit next to bundles of dried tobacco and cinnamon sticks.
12487,"['black currant', 'rose', 'cacao', 'patchouli']",cacao,"It smells like dark chocolate truffles dusted with rose petals, sitting on an old wooden bookshelf in a Victorian sitting room."
5014,"['caramel', 'powdery notes', 'musk', 'benzoin', 'vanilla']",caramel,"It smells like the skin of someone who just baked cookies, with a slightly dusty sweetness that clings to fabric."
19969,"['violet leaf', 'cedar', 'jasmine sambac', 'orris', 'leather', 'woody notes', 'tobacco']",leather,"It smells like soft leather and dry tobacco, with a powdery floral sweetness and clean, pencil-shaving wood underneath."
7097,"['bergamot', 'lily-of-the-valley', 'green notes', 'rose', 'milk', 'sugar', 'vanilla']",lactonic,It smells like a florist's cooler at dawn — crisp stems and dewy petals mixed with sweetened condensed milk left open on the counter.
13719,"['lemon', 'bergamot', 'jasmine', 'lily-of-the-valley', 'hazelnut', 'vanilla', 'amber', 'musk']",nutty,"It smells like bright citrus and white flowers at first, then settles into creamy vanilla and roasted nuts with a soft, warm base."
16026,"['bitter almond', 'black cherry', 'cherry liqueur', 'sour cherry', 'plum', 'turkish rose', 'jasmine sambac', 'vanilla', 'tonka bean', 'cinnamon', 'peru balsam', 'benzoin', 'sandalwood', 'cloves', 'cedar', 'patchouli', 'vetiver']",cherry,"It smells like maraschino cherries soaked in almond liqueur, resting on a wooden bar counter next to someone wearing spiced rose perfume."
10348,"['mint', 'bergamot', 'grapefruit', 'lavender', 'granny smith apple', 'cranberry', 'rose', 'cotton flower', 'cactus', 'amber']",green,"It smells like a soapy hotel bathroom meets tart green apples and berry juice, with something oddly watery and plant-like hovering in the background."
9921,"['violet', 'orange', 'bergamot', 'coffee', 'pear', 'iris', 'orange blossom', 'rose', 'caramel', 'vanilla', 'patchouli']",caramel,"It smells like powdery florals and citrus peel at first, then sweetens into caramel and vanilla with dark coffee underneath."
20216,"['aldehydes', 'african orange flower', 'bergamot', 'carnation', 'ylang-ylang', 'jasmine', 'rose', 'iris', 'sandalwood', 'vanille', 'amber']",aldehydic,"It smells like powdery flowers and soap with a warm, slightly sweet vanilla-amber base and a hint of woody dryness."
16230,"['citruses', 'orange blossom', 'rosemary', 'bitter orange', 'almond', 'tonka bean', 'leather', 'cedar', 'vetiver']",almond,"It smells like a Mediterranean herb garden next to a tannery — bright citrus and rosemary cut through warm almond pastries, ending with woody leather that's been left in the sun."
6506,"['acai berry', 'sea salt', 'driftwood']",salty,"It smells like tart berries and salted air, with a base of weathered wood that's dry and slightly mineral."
21031,"['raspberry', 'saffron', 'thyme', 'olibanum', 'jasmine', 'artemisia', 'leather', 'suede', 'woody notes', 'amber']",leather,"It smells like a leather jacket draped over church pews, with crushed raspberries staining the sleeves and dried herbs tucked in the pockets."
6522,"['pomegranate', 'persimmon', 'green accord', 'black orchid', 'lotus', 'champaca', 'mahogany', 'amber', 'black violet', 'whipped cream']",woody,"It smells like tart pomegranate and sweet persimmon over dark flowers, with creamy vanilla and warm wood in the base."
10276,"['nutmeg', 'gardenia', 'african orange flower', 'green notes', 'bergamot', 'tuberose', 'jasmine', 'honeysuckle', 'iris', 'peony', 'mace', 'vanilla', 'amber', 'woodsy notes', 'guaiac wood', 'virginia cedar']",white floral,"It smells like white flowers and warm spices at first, then creamy vanilla and dry wood, with a powdery sweetness running through it all."
5027,"['blackberry', 'cranberry', 'vinyl', 'damask rose', 'violet', 'peony', 'musk', 'sandalwood', 'vetyver', 'patchouli']",fruity,"It smells like crushed berries on a record store counter — tart and jammy at first, then powdery flowers drift in with earthy, slightly mossy woods underneath."
10594,"['pear', 'bergamot', 'tuberose', 'orange blossom', 'jasmine sambac', 'patchouli', 'vanilla', 'ambroxan', 'vetiver']",white floral,"It smells like ripe pear and citrus at first, then heavy white florals — creamy and slightly indolic — with a sweet vanilla-patchouli base that's earthy and warm."
19690,"['pink pepper', 'elemi', 'bergamot', 'grapefruit', 'cinnamon', 'saffron', 'paprika', 'tobacco', 'leather', 'vetiver']",warm spicy,"It smells like the spice drawer in an old leather workshop — sharp citrus cutting through cinnamon heat, dried tobacco leaves, and something earthy like tree roots after rain."
