mainaccord1,Gender,mainaccord5,Rating Count,all_notes,mainaccord2,embedding_text,Rating Value,Year,mainaccord4,Brand,embedding_id,Perfume,mainaccord3,t5_description,url
fruity,women,citrus,26,"['lemon verbena', 'neroli', 'fig', 'corn', 'magnolia', 'saffron', 'barberry', 'cherry blossom', 'pear wood', 'meringue', 'amber']",woody,"Accords: fruity, woody, sweet. Notes: lemon verbena, neroli, fig, corn, magnolia, saffron, barberry, cherry blossom. Profile: It smells like a spice market at dawn — citrus peel and figs mixed with saffron, then softens into something earthy and slightly powdery..","2,65",2023.0,floral,bybozo,12,french-kiss,sweet,"It smells like a spice market at dawn — citrus peel and figs mixed with saffron, then softens into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/bybozo/french-kiss-83935.html
citrus,unisex,sweet,65,"['orange', 'bergamot', 'lemon', 'melon', 'saffron', 'peach', 'apple', 'agarwood (oud)', 'leather', 'vanilla', 'amber', 'white musk']",oud,"Accords: citrus, oud, fruity. Notes: orange, bergamot, lemon, melon, saffron, peach, apple, agarwood (oud). Profile: It smells like sweet orange peel and citrus peel at first, then soft leather and warm vanilla, finishing with a hint of powdery amber and white musk..","2,66",2022.0,leather,sospiro-perfumes,13,erba-oud,fruity,"It smells like sweet orange peel and citrus peel at first, then soft leather and warm vanilla, finishing with a hint of powdery amber and white musk.",https://www.fragrantica.com/perfume/sospiro-perfumes/erba-oud-75943.html
green,men,aquatic,569,"['cucumber', 'black basil', 'mint', 'citruses', 'spicy notes', 'pepper', 'herbal notes', 'woody notes', 'spicy notes', 'exotic woods', 'vetiver']",fresh spicy,"Accords: green, fresh spicy, aromatic. Notes: cucumber, black basil, mint, citruses, spicy notes, pepper, herbal notes, woody notes. Profile: It smells like a spice market at dawn — sweet cucumber and mint mixed with powdery spices, then soft woods and something earthy-woody..","2,68",2004.0,ozonic,trump,14,donald-trump,aromatic,"It smells like a spice market at dawn — sweet cucumber and mint mixed with powdery spices, then soft woods and something earthy-woody.",https://www.fragrantica.com/perfume/trump/donald-trump-22530.html
rubber,unisex,none,28,"['concrete', 'woody notes', 'ozonic notes', 'moss', 'rubber', 'paper', 'olibanum', 'coffee', 'cedar']",mineral,"Accords: rubber, mineral, paper. Notes: concrete, woody notes, ozonic notes, moss, rubber, paper, olibanum, coffee. Profile: It smells like a coffee shop next to an old wooden furniture store — concrete and woody, with mossy wood underneath..","2,68",2021.0,woody,rook-perfumes,15,school,paper,"It smells like a coffee shop next to an old wooden furniture store — concrete and woody, with mossy wood underneath.",https://www.fragrantica.com/perfume/rook-perfumes/school-71048.html
woody,women,amber,118,"['raspberry', 'neroli', 'bergamot', 'jasmine', 'orange blossom', 'tuberose', 'clearwood', 'amber', 'sandalwood', 'patchouli', 'cistus incanus']",white floral,"Accords: woody, white floral, fruity. Notes: raspberry, neroli, bergamot, jasmine, orange blossom, tuberose, clearwood, amber. Profile: It smells like ripe raspberries and neroli at first, then white flowers with a soft woody base, finishing with something earthy and slightly sweet..","2,69",2022.0,sweet,o-boticario,16,glamour-gold-glam,fruity,"It smells like ripe raspberries and neroli at first, then white flowers with a soft woody base, finishing with something earthy and slightly sweet.",https://www.fragrantica.com/perfume/o-boticario/glamour-gold-glam-75017.html
floral,women,violet,143,"['bergamot', 'frangipani', 'lotus', 'violet', 'rose', 'musk']",powdery,"Accords: floral, powdery, citrus. Notes: bergamot, frangipani, lotus, violet, rose, musk. Profile: It smells like a flower shop at dawn — bergamot and rose petals mixed with white flowers, then softens into something earthy and slightly powdery..","2,71",2009.0,musky,clean,17,clean-simply-soap,citrus,"It smells like a flower shop at dawn — bergamot and rose petals mixed with white flowers, then softens into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/clean/clean-simply-soap-5899.html
ozonic,men,floral,42,"['watermelon', 'lavender', 'bergamot', 'lotus', 'jasmine', 'musk', 'sandalwood', 'amber']",aquatic,"Accords: ozonic, aquatic, lavender. Notes: watermelon, lavender, bergamot, lotus, jasmine, musk, sandalwood, amber. Profile: It smells like watermelon and lavender at first, then white flowers and jasmine, finishing with something earthy and slightly musky..","2,71",2020.0,citrus,michael-malul-london,18,visionair-midnight-blue,lavender,"It smells like watermelon and lavender at first, then white flowers and jasmine, finishing with something earthy and slightly musky.",https://www.fragrantica.com/perfume/michael-malul-london/visionair-midnight-blue-62601.html
leather,men,aromatic,299,"['nutmeg', 'cardamom', 'lime', 'bergamot', 'mandarin orange', 'juniper', 'lavender', 'geranium', 'head space waterfall', 'sage', 'leather', 'patchouli', 'sandalwood', 'musk', 'amber', 'cedar', 'moss', 'vetiver', 'tonka bean']",fresh spicy,"Accords: leather, fresh spicy, warm spicy. Notes: nutmeg, cardamom, lime, bergamot, mandarin orange, juniper, lavender, geranium. Profile: It smells like a leather jacket draped over your head space waterfall, where citrus peel meets powdery sandalwood, then settles into something earthy and slightly woody..","2,72",2016.0,woody,o-boticario,19,malbec-sport,warm spicy,"It smells like a leather jacket draped over your head space waterfall, where citrus peel meets powdery sandalwood, then settles into something earthy and slightly woody.",https://www.fragrantica.com/perfume/o-boticario/malbec-sport-41727.html
aromatic,unisex,musky,70,"['juniper berries', 'pink grapefruit', 'mandarin orange', 'neroli', 'rosemary', 'spices', 'cyclamen', 'lavender', 'almond blossom', 'ambrette (musk mallow)', 'vetiver', 'cedar', 'precious woods', 'vanilla', 'tonka bean']",fresh spicy,"Accords: aromatic, fresh spicy, woody. Notes: juniper berries, pink grapefruit, mandarin orange, neroli, rosemary, spices, cyclamen, lavender. Profile: It smells like ripe grapefruit and citrus peel at first, then sweet vanilla and powdery roses, finishing with a warm, slightly woody base..","2,74",2021.0,citrus,filippo-sorcinelli,20,cyber-sex,woody,"It smells like ripe grapefruit and citrus peel at first, then sweet vanilla and powdery roses, finishing with a warm, slightly woody base.",https://www.fragrantica.com/perfume/filippo-sorcinelli/cyber-sex-67616.html
citrus,women,fresh spicy,174,"['yuzu', 'blood orange', 'neroli', 'orange blossom', 'musk', 'white wood']",white floral,"Accords: citrus, white floral, musky. Notes: yuzu, blood orange, neroli, orange blossom, musk, white wood. Profile: It smells like citrus peel and orange peel at first, then soft musk and white flowers, finishing with a warm woody base..","2,75",2022.0,woody,jean-paul-gaultier,21,classique-pride-edition,musky,"It smells like citrus peel and orange peel at first, then soft musk and white flowers, finishing with a warm woody base.",https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-edition-73288.html
woody,unisex,oud,62,"['apple', 'lavender', 'lemon', 'jasmine', 'vanilla', 'woody notes', 'lily-of-the-valley', 'agarwood (oud)', 'amber', 'tonka bean', 'sandalwood', 'cypriol oil or nagarmotha', 'musk', 'guaiac wood']",vanilla,"Accords: woody, vanilla, amber. Notes: apple, lavender, lemon, jasmine, vanilla, woody notes, lily-of-the-valley, agarwood (oud). Profile: It smells like ripe apple and lavender at first, then white flowers and jasmine, with a soft woody base that's slightly powdery and earthy..","2,81",2019.0,powdery,navitus-parfums,22,oud-imperium,amber,"It smells like ripe apple and lavender at first, then white flowers and jasmine, with a soft woody base that's slightly powdery and earthy.",https://www.fragrantica.com/perfume/navitus-parfums/oud-imperium-60637.html
citrus,unisex,musky,32,"['bergamot', 'lemon', 'orange', 'vetiver', 'orange blossom', 'lily-of-the-valley', 'rose', 'jasmine', 'vetiver', 'musk', 'sandalwood', 'cedar', 'chive']",white floral,"Accords: citrus, white floral, woody. Notes: bergamot, lemon, orange, vetiver, orange blossom, lily-of-the-valley, rose, jasmine. Profile: It smells like citrus peel and orange peel at first, then rose petals and musk, finishing with a soft woody base..","2,81",2018.0,aromatic,franck-boclet,23,vetiver,woody,"It smells like citrus peel and orange peel at first, then rose petals and musk, finishing with a soft woody base.",https://www.fragrantica.com/perfume/franck-boclet/vetiver-49353.html
vinyl,unisex,none,55,"['tonic water', 'gin', 'berry fruits', 'vinyl', 'blood', 'saffron', 'turkish rose', 'madagascar vanilla', 'musk', 'galbanum', 'sandalwood']",mineral,"Accords: vinyl, mineral, metallic. Notes: tonic water, gin, berry fruits, vinyl, blood, saffron, turkish rose, madagascar vanilla. Profile: It smells like a gin-soaked bottle of vodka mixed with berry juice, then settles into something sweet and slightly earthy..","2,82",2020.0,aromatic,ricardo-ramos-perfumes-de-autor,24,cristina-la-veneno-veneno-pa-tu-piel,metallic,"It smells like a gin-soaked bottle of vodka mixed with berry juice, then settles into something sweet and slightly earthy.",https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/cristina-la-veneno-veneno-pa-tu-piel-66074.html
musky,unisex,powdery,33,"['coffee', 'honey', 'pine', 'animal notes', 'saffron', 'marine notes', 'jasmine', 'musk', 'ambrette', 'amber']",warm spicy,"Accords: musky, warm spicy, animalic. Notes: coffee, honey, pine, animal notes, saffron, marine notes, jasmine, musk. Profile: It smells like coffee and honey at first, then white flowers with a hint of jasmine, finishing with something earthy and slightly powdery..","2,82",2024.0,coffee,filippo-sorcinelli,25,quickie-and-coffee,animalic,"It smells like coffee and honey at first, then white flowers with a hint of jasmine, finishing with something earthy and slightly powdery.",https://www.fragrantica.com/perfume/filippo-sorcinelli/quickie-and-coffee-90649.html
yellow floral,women,white floral,52,"['mimosa', 'red lily', 'iris', 'tonka bean']",powdery,"Accords: yellow floral, powdery, floral. Notes: mimosa, red lily, iris, tonka bean. Profile: It smells like a flower shop at dawn — soft flowers and iris blooming in the background, with something earthy and slightly sweet underneath..","2,83",2003.0,sweet,faberlic,26,orangerie-mimosa,floral,"It smells like a flower shop at dawn — soft flowers and iris blooming in the background, with something earthy and slightly sweet underneath.",https://www.fragrantica.com/perfume/faberlic/orangerie-mimosa-19311.html
fruity,men,citrus,65,"['bergamot', 'pineapple', 'apple', 'black currant leaf', 'birch', 'patchouli', 'red berries', 'jasmine', 'oakmoss', 'musk', 'amber', 'vanilla']",mossy,"Accords: fruity, mossy, woody. Notes: bergamot, pineapple, apple, black currant leaf, birch, patchouli, red berries, jasmine. Profile: It smells like a fruit stand next to an apple orchard, where white flowers meet red berries, with something earthy and slightly powdery underneath..","2,83",2019.0,earthy,in-the-box,27,aventhis,woody,"It smells like a fruit stand next to an apple orchard, where white flowers meet red berries, with something earthy and slightly powdery underneath.",https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html
leather,men,cannabis,31,"['pear', 'cannabis', 'lemon zest', 'ginger', 'african geranium', 'leather', 'woodsy notes']",woody,"Accords: leather, woody, aromatic. Notes: pear, cannabis, lemon zest, ginger, african geranium, leather, woodsy notes. Profile: It smells like dried pear and citrus peel at first, then soft leather with a warm, slightly woody base..","2,84",2023.0,citrus,carolina-herrera,28,212-heroes-collector-edition,aromatic,"It smells like dried pear and citrus peel at first, then soft leather with a warm, slightly woody base.",https://www.fragrantica.com/perfume/carolina-herrera/212-heroes-collector-edition-90277.html
earthy,unisex,soft spicy,147,"['carrot', 'cinnamon', 'bergamot', 'agarwood (oud)', 'dry wood', 'cedar', 'tobacco', 'earthy notes', 'leather', 'styrax']",woody,"Accords: earthy, woody, powdery. Notes: carrot, cinnamon, bergamot, agarwood (oud), dry wood, cedar, tobacco, earthy notes. Profile: It smells like a spice market at dawn — sweet carrots and cinnamon mixed with dry wood, with something earthy and slightly leathery underneath..","2,85",2022.0,oud,bohoboco,29,wild-carrot-oud,powdery,"It smells like a spice market at dawn — sweet carrots and cinnamon mixed with dry wood, with something earthy and slightly leathery underneath.",https://www.fragrantica.com/perfume/bohoboco/wild-carrot-oud-74152.html
aromatic,men,fresh spicy,56,"['watery notes', 'bergamot', 'grapefruit', 'seaweed', 'myrtle', 'iris', 'pine tree', 'woody notes', 'amber']",woody,"Accords: aromatic, woody, aquatic. Notes: watery notes, bergamot, grapefruit, seaweed, myrtle, iris, pine tree, woody notes. Profile: It smells like a fish market at dawn — watery and citrusy, with something sweet and earthy underneath..","2,86",2000.0,marine,dzintars,30,titaniks,aquatic,"It smells like a fish market at dawn — watery and citrusy, with something sweet and earthy underneath.",https://www.fragrantica.com/perfume/dzintars/titaniks-20475.html
white floral,unisex,fresh,29,"['neroli', 'jasmine sambac', 'sandalwood']",citrus,"Accords: white floral, citrus, woody. Notes: neroli, jasmine sambac, sandalwood. Profile: It smells like a perfumer's closet at dawn — neroli and citrus peel mixed with smoky sandalwood, finishing with something earthy and woody..","2,86",2019.0,floral,aaron-terence-hughes,31,neroli,woody,"It smells like a perfumer's closet at dawn — neroli and citrus peel mixed with smoky sandalwood, finishing with something earthy and woody.",https://www.fragrantica.com/perfume/aaron-terence-hughes/neroli-58431.html
ozonic,women,musky,33,"['ozonic notes', 'aquatic notes', 'aldehydes', 'white musk', 'lily of the valley', 'bergamot', 'sandalwood', 'amber']",aldehydic,"Accords: ozonic, aldehydic, fresh. Notes: ozonic notes, aquatic notes, aldehydes, white musk, lily of the valley, bergamot, sandalwood, amber. Profile: It smells like a garden shed left open in the middle of the woods, with something earthy and slightly sweet lingering on the surface..","2,88",2023.0,marine,brocard,32,snow-palace,fresh,"It smells like a garden shed left open in the middle of the woods, with something earthy and slightly sweet lingering on the surface.",https://www.fragrantica.com/perfume/brocard/snow-palace-81665.html
citrus,unisex,aromatic,27,"['petitgrain', 'bergamot', 'lemon', 'tangerine', 'grapefruit', 'tea', 'neroli', 'earthy notes', 'orange blossom', 'smoke', 'benzoin', 'vanilla', 'ambrette (musk mallow)', 'myrrh', 'moss']",green,"Accords: citrus, green, white floral. Notes: petitgrain, bergamot, lemon, tangerine, grapefruit, tea, neroli, earthy notes. Profile: It smells like citrus peel and citrus juice at first, then sweet vanilla and earthy notes, finishing with a hint of powdery sweetness..","2,89",2024.0,fresh spicy,guerlain,33,neroli-outrenoir-2024,white floral,"It smells like citrus peel and citrus juice at first, then sweet vanilla and earthy notes, finishing with a hint of powdery sweetness.",https://www.fragrantica.com/perfume/guerlain/neroli-outrenoir-2024-89177.html
woody,men,balsamic,30,"['bitter orange', 'sandalwood', 'carnation', 'red berries', 'clove', 'brazilian rosewood']",warm spicy,"Accords: woody, warm spicy, powdery. Notes: bitter orange, sandalwood, carnation, red berries, clove, brazilian rosewood. Profile: It smells like orange peel and apricots at first, then soft berries and white flowers, finishing with something earthy and slightly floral..","2,9",2011.0,citrus,il-profvmo,34,santal-rouge,powdery,"It smells like orange peel and apricots at first, then soft berries and white flowers, finishing with something earthy and slightly floral.",https://www.fragrantica.com/perfume/il-profvmo/santal-rouge-13289.html
rose,unisex,amber,69,"['turkish rose', 'saffron', 'leather', 'red berries', 'orange', 'cinnamon', 'geranium', 'rose', 'jasmine', 'osmanthus', 'agarwood (oud)', 'incense', 'musk', 'labdanum', 'amber']",fresh spicy,"Accords: rose, fresh spicy, oud. Notes: turkish rose, saffron, leather, red berries, orange, cinnamon, geranium, rose. Profile: It smells like a leather jacket draped over berries and white flowers, with something earthy and slightly sweet lingering in the air..","2,91",2019.0,warm spicy,navitus-parfums,35,oud-luxuria,oud,"It smells like a leather jacket draped over berries and white flowers, with something earthy and slightly sweet lingering in the air.",https://www.fragrantica.com/perfume/navitus-parfums/oud-luxuria-60636.html
warm spicy,women,floral,26,"['lime', 'ginger', 'cinnamon', 'carnation', 'orange blossom', 'jasmine', 'rose', 'cedar', 'sandalwood', 'amber', 'musk']",citrus,"Accords: warm spicy, citrus, woody. Notes: lime, ginger, cinnamon, carnation, orange blossom, jasmine, rose, cedar. Profile: It smells like a spice market at dawn — citrus peel mixed with white flowers, then softens into something earthy and slightly powdery..","2,92",2003.0,white floral,diesel,36,diesel-green-feminine-special-edition,woody,"It smells like a spice market at dawn — citrus peel mixed with white flowers, then softens into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/diesel/diesel-green-feminine-special-edition-4855.html
fruity,unisex,leather,37,"['black currant', 'plum', 'cardamom', 'saffron', 'rose petals', 'night blooming jasmine', 'suede', 'agarwood (oud)', 'australian sandalwood']",oud,"Accords: fruity, oud, woody. Notes: black currant, plum, cardamom, saffron, rose petals, night blooming jasmine, suede, agarwood (oud). Profile: It smells like a spice market at dawn — sweet black currants and cardamom mixed with white flowers, then softens into something earthy and slightly leathery..","2,92",2021.0,warm spicy,house-of-sillage,37,whispers-of-temptation,woody,"It smells like a spice market at dawn — sweet black currants and cardamom mixed with white flowers, then softens into something earthy and slightly leathery.",https://www.fragrantica.com/perfume/house-of-sillage/whispers-of-temptation-68505.html
fresh spicy,unisex,sweet,237,"['rosemary', 'petitgrain', 'bergamot', 'pink pepper', 'black currant', 'pineapple', 'clary sage', 'cardamom', 'cumin', 'basil', 'lavender', 'musk', 'geranium', 'oakmoss', 'patchouli', 'tonka bean', 'oak']",aromatic,"Accords: fresh spicy, aromatic, fruity. Notes: rosemary, petitgrain, bergamot, pink pepper, black currant, pineapple, clary sage, cardamom. Profile: It smells like sweet roses and citrus peel at first, then warm spices and powdery musk, finishing with a soft woody base..","2,93",2020.0,woody,zoologist-perfumes,38,dodo-edition-2020,fruity,"It smells like sweet roses and citrus peel at first, then warm spices and powdery musk, finishing with a soft woody base.",https://www.fragrantica.com/perfume/zoologist-perfumes/dodo-edition-2020-64003.html
fresh,unisex,musky,42,"['citruses', 'green notes', 'watery notes', 'mint', 'peony', 'apple', 'rose', 'lily-of-the-valley', 'plum', 'musk', 'woody notes', 'amber']",green,"Accords: fresh, green, floral. Notes: citruses, green notes, watery notes, mint, peony, apple, rose, lily-of-the-valley. Profile: It smells like a flower shop next to an apple orchard, where dried peony leaves meet sweet flowers, with something earthy and slightly woody undertones..","2,93",2021.0,rose,brocard,39,spring-bloom,floral,"It smells like a flower shop next to an apple orchard, where dried peony leaves meet sweet flowers, with something earthy and slightly woody undertones.",https://www.fragrantica.com/perfume/brocard/spring-bloom-66489.html
warm spicy,unisex,fresh spicy,29,"['bergamot', 'cardamom', 'violet', 'turkish rose', 'atlas cedar', 'carnation', 'olibanum', 'gurjan balsam', 'cashmere musk']",citrus,"Accords: warm spicy, citrus, aromatic. Notes: bergamot, cardamom, violet, turkish rose, atlas cedar, carnation, olibanum, gurjan balsam. Profile: It smells like a spice market at dawn — bergamot and cardamom mixed with white flowers, then softens into something earthy and slightly powdery..","2,93",2017.0,rose,ricardo-ramos-perfumes-de-autor,40,laaurora,aromatic,"It smells like a spice market at dawn — bergamot and cardamom mixed with white flowers, then softens into something earthy and slightly powdery.",https://www.fragrantica.com/perfume/ricardo-ramos-perfumes-de-autor/laaurora-45293.html
woody,unisex,fresh spicy,34,"['italian lemon', 'red fruits', 'geranium', 'saffron', 'woodsy notes', 'oud', 'leather', 'smoke', 'amber']",smoky,"Accords: woody, smoky, leather. Notes: italian lemon, red fruits, geranium, saffron, woodsy notes, oud, leather, smoke. Profile: It smells like a leather jacket left open in an old wooden shed, where citrus peels and saffron are mixed with soft leather..","2,94",2023.0,oud,navitus-parfums,41,desir-infini,leather,"It smells like a leather jacket left open in an old wooden shed, where citrus peels and saffron are mixed with soft leather.",https://www.fragrantica.com/perfume/navitus-parfums/desir-infini-81972.html
woody,unisex,coffee,197,"['coffee', 'bergamot', 'lemon', 'lily', 'rosemary', 'orange blossom', 'rose', 'moss', 'patchouli', 'sandalwood', 'vanilla', 'amber', 'cedar', 'vetiver']",warm spicy,"Accords: woody, warm spicy, earthy. Notes: coffee, bergamot, lemon, lily, rosemary, orange blossom, rose, moss. Profile: It smells like coffee and bergamot at first, then rose petals and white flowers, with something earthy and slightly woody underneath..","2,94",2019.0,white floral,franck-boclet,42,cafe,earthy,"It smells like coffee and bergamot at first, then rose petals and white flowers, with something earthy and slightly woody underneath.",https://www.fragrantica.com/perfume/franck-boclet/cafe-55432.html
citrus,men,woody,149,"['blood orange', 'grapefruit', 'mint', 'cinnamon', 'spices', 'rose', 'leather', 'amber', 'white woods', 'patchouli']",warm spicy,"Accords: citrus, warm spicy, cinnamon. Notes: blood orange, grapefruit, mint, cinnamon, spices, rose, leather, amber. Profile: It smells like citrus peel and mint at first, then warm leather and a hint of powdery wood, finishing with something earthy and slightly floral..","2,95",2014.0,leather,paco-rabanne,43,1-million,cinnamon,"It smells like citrus peel and mint at first, then warm leather and a hint of powdery wood, finishing with something earthy and slightly floral.",https://www.fragrantica.com/perfume/paco-rabanne/1-million-23908.html
