all_notes,target_description
"['aldehydes', 'rose', 'orange blossom', 'hawthorn', 'musk', 'sandalwood']","It smells like rose petals, orange blossom, and hawthorn at first, then settles into warm resin and dry wood."
"['aldehydes', 'ylang-ylang', 'neroli', 'lemon', 'bergamot', 'rose', 'iris', 'jasmine', 'orris root', 'lily-of-the-valley', 'civet', 'amber', 'sandalwood', 'musk', 'vanilla', 'oakmoss', 'patchouli', 'vetiver']","It smells like citrus peel, warm resin, and slightly sweet plastic, then dries down to dry wood and skin."
"['aldehydes', 'bulgarian rose', 'ylang-ylang', 'jasmine', 'may rose', 'amber', 'liatris', 'vetiver']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['aldehydes', 'jasmine', 'rose', 'iris', 'vanilla', 'woodsy notes']","It smells like warm resin, dry wood, and skin, with subtle hints of rose and jasmine."
"['aldehydes', 'green leaves', 'raspberry', 'jasmine', 'lily-of-the-valley', 'rose', 'violet', 'orris root', 'geranium', 'musk', 'tonka bean', 'sandalwood', 'oakmoss', 'cedar', 'amber']","It smells like green leaves, sweet raspberry, and fresh lily-of-the-valley at first, then warm resin, dry wood, and skin."
"['aldehydes', 'heliotrope', 'rose', 'orange blossom', 'tonka bean', 'woody notes']","It smells like rose petals and orange blossom at first, then warm resin and dry wood."
"['aldehydes', 'rose', 'oakmoss']","It smells like rose petals and warm resin, with a hint of damp earth and dry wood."
"['aldehydes', 'violet leaves', 'bergamot', 'osmanthus', 'lily-of-the-valley', 'rose', 'tonka bean', 'cypriol oil or nagarmotha', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood, with hints of violet leaves and rose."
"['aldehydes', 'hyacinth', 'rose', 'jasmine', 'musk', 'sandalwood', 'cedar', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['aldehydes', 'white peach', 'tea', 'bergamot', 'osmanthus', 'jasmine', 'magnolia', 'musk', 'vanilla', 'sandalwood', 'amber', 'myrrh']","It smells like white peach and tea at first, then bergamot and osmanthus emerge, followed by dry wood and slightly sweet plastic."
"['aldehydes', 'neroli', 'bergamot', 'mimosa', 'basil', 'mandarin orange', 'jasmine', 'patchouli', 'coriander', 'ginger', 'carnation', 'ylang-ylang', 'rose', 'cyclamen', 'orris root', 'african orange flower', 'oak moss', 'virginia cedar', 'musk', 'sandalwood', 'amber', 'french labdanum']","It smells like citrus peel, warm resin, and dry wood."
"['aldehydes', 'damask rose', 'turkish rose', 'geranium', 'violet', 'violet leaf', 'ambrette (musk mallow)', 'sandalwood']","It smells like dry wood, slightly sweet plastic, and skin."
"['aldehydes', 'neroli', 'jasmine', 'may rose', 'woody notes']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['aldehydes', 'ylang-ylang', 'jasmine', 'musk', 'vetiver']","It smells like a sweet blend of aldehydes and ylang-ylang, with a subtle musk and dry vetiver undertones."
"['orange oil', 'pink pepper', 'peach', 'floral notes', 'solar notes', 'amber']","It smells like peach and floral notes at first, then warm resin and slightly sweet plastic."
"['aldehydes', 'citruses', 'plum', 'peach', 'cinnamon', 'rose', 'african orange flower', 'violet', 'lavender', 'spices', 'oak moss', 'woodsy notes', 'musk', 'vanille']","It smells like sweet citrus, ripe plum, and warm cinnamon at first, then settles into a blend of fresh lavender, soft musk, and dry wood."
"['aldehydes', 'neroli', 'sorbet', 'white tea', 'litchi', 'jasmine', 'white musk']","It smells like a mix of sweet litchi and jasmine at first, then a subtle sorbet freshness, followed by a dry white tea and a hint of skin-like musk."
"['violet', 'jasmine', 'narcissus', 'lily-of-the-valley', 'rose', 'bergamot', 'peach', 'aldehydes', 'rosemary', 'tuberose', 'musk', 'vetiver', 'civetta', 'bamboo', 'tonka bean', 'amber', 'sandalwood']","It smells like a combination of sweet rose and lily-of-the-valley at first, then bergamot and peach emerge, followed by dry wood and slightly sweet plastic."
"['aldehydes', 'pink pepper', 'jasmine', 'ylang-ylang', 'labdanum', 'rose', 'benzoin', 'musk', 'praline', 'vanilla', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['champagne', 'aldehydes', 'orange', 'black pepper', 'black violet', 'pineapple', 'fir', 'acácia', 'lavender', 'bamboo', 'cashmere wood', 'amber', 'papyrus']","It smells like champagne, fresh orange, and black pepper at first, then warm resin and dry wood take over."
"['aldehydes', 'pear', 'lily-of-the-valley', 'orange blossom', 'rose', 'iris', 'white musk', 'ambrette (musk mallow)', 'indonesian patchouli leaf']","It smells like orange blossom and rose at first, then settles into a sweet blend of warm resin and dry wood."
"['aldehydes', 'blood mandarin', 'syringa', 'may rose', 'lily-of-the-valley', 'ylang-ylang', 'oakmoss', 'musk']","It smells like warm resin, dry wood, and skin."
"['mandarin orange', 'soap', 'prosecco']","It smells like a combination of sweet mandarin orange, followed by a splash of soap, finishing with a hint of bubbly prosecco."
"['pistachio', 'pear', 'mandarin orange', 'almond', 'orange blossom', 'magnolia', 'almond milk', 'tonka bean', 'cashmeran', 'patchouli']","It smells like a sweet combination of warm resin and freshly cut grass, with a subtle hint of skin and fabric."
"['citruses', 'orange blossom', 'rosemary', 'bitter orange', 'almond', 'tonka bean', 'leather', 'cedar', 'vetiver']","It smells like citrus peel, orange blossom, and warm resin, with a subtle hint of damp soil and dry wood."
"['heliotrope', 'cumin', 'bergamot', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['amaretto', 'bitter almond', 'gardenia', 'neroli', 'cedar', 'iris', 'musk', 'jasmine', 'rose', 'vetiver', 'patchouli', 'benzoin', 'amber', 'cedar', 'dark chocolate', 'caramel']","It smells like warm resin, slightly sweet plastic, and dark chocolate."
"['almond', 'fruity notes', 'musk', 'rose', 'jasmine', 'vanilla', 'resin', 'amber']","It smells like sweet almond and fruity notes at first, then warm resin and slightly sweet plastic, finishing with a subtle hint of skin and fabric."
"['magnolia', 'calabrian bergamot', 'orange blossom', 'green almond', 'vanilla']","It smells like a sweet combination of orange blossom and green almond, with a subtle hint of warm vanilla and a background of dry wood."
"['almond', 'brazilian rosewood', 'rose', 'geranium', 'plum', 'virginia cedar', 'celery', 'heliotrope', 'tonka bean', 'musk']","It smells like sweet rose and geranium at first, then warm resin and slightly sweet plastic, finally ending with skin and clean laundry."
"['almond milk', 'bergamot', 'pink pepper', 'heliotrope', 'jasmine sambac', 'carnation', 'sandalwood', 'cashmere wood', 'benzoin']","It smells like a sweet blend of citrusy bergamot and floral jasmine sambac, with a subtle dry wood and warm resin undertone."
"['almond', 'cinnamon', 'mimosa', 'honey', 'heliotrope', 'black rose', 'labdanum', 'vanilla', 'cacao pod', 'white musk', 'peru balsam', 'agarwood (oud)']","It smells like warm honey, fresh-cut grass, and dry wood, with a subtle hint of gasoline and skin."
"['orange blossom', 'jasmine sambac', 'almond milk', 'heliotrope', 'iris', 'suede', 'leather', 'incense', 'patchouli']","It smells like sweet orange blossom, followed by the earthy scent of wet leaves and dry wood, finishing with a subtle hint of leather."
"['amaretto', 'amber', 'hibiscus', 'bulgarian rose', 'vanilla', 'amber', 'white pepper', 'white flowers', 'cherry', 'almond', 'tonka bean', 'styrax', 'cedar']","It smells like warm resin, slightly sweet plastic, and cherry."
"['narcissus', 'night blooming jasmine', 'almond', 'sandalwood']","It smells like sweet almond and fresh narcissus at first, then dry wood and slightly sweet plastic, finally finishing with a subtle hint of clean laundry."
"['almond', 'orange blossom', 'petitgrain', 'bergamot', 'heliotrope', 'iris', 'ylang-ylang', 'jasmine', 'rose', 'vanilla', 'tonka bean', 'tolu balsam', 'peru balsam', 'musk']","It smells like a sweet blend of orange blossom, warm vanilla, and fresh iris, with subtle hints of dry wood and skin."
"['violet leaf', 'cardamom', 'red currant', 'almond', 'lily-of-the-valley', 'jasmine', 'heliotrope', 'musk', 'benzoin']","It smells like sweet lily-of-the-valley and fresh red currant at first, then warm resin and dry wood, finally ending with a subtle skin and fabric musk."
"['damask rose', 'sour cherry', 'almond milk', 'madagascar vanilla', 'woodsy notes']","It smells like a sweet combination of ripe sour cherries and warm almond milk, with a hint of dry wood and a subtle touch of Madagascar vanilla."
"['almond', 'lemon', 'virginia cedar', 'vanilla', 'musk']","It smells like sweet vanilla, fresh lemon, and warm musk."
"['pink pepper', 'bergamot', 'indian mandarin', 'rose', 'heliotrope', 'almond']","It smells like sweet citrus, warm rose, and a hint of dusty old books."
"['almond', 'peach', 'almond blossom', 'white flowers', 'tonka bean', 'white musk', 'amber']","It smells like a sweet and juicy peach, followed by the delicate scent of almond blossom, and finishing with a warm, slightly sweet note of tonka bean and white musk."
"['orchid', 'heliotrope', 'tangerine', 'almond', 'coconut', 'sandalwood']","It smells like tangerine and heliotrope at first, then coconut and almond, finishing with dry sandalwood and a hint of warm resin."
"['almond', 'almond blossom', 'lemon', 'caramel', 'jasmine sambac', 'vanilla', 'sandalwood']","It smells like sweet citrus and floral notes at first, then warm caramel and dry wood, finishing with a subtle hint of skin."
"['orange blossom', 'jasmine sambac', 'almond milk', 'heliotrope', 'iris', 'suede', 'incense', 'patchouli']","It smells like citrus peel, warm resin, and damp soil."
"['cacao', 'ambergris', 'bitter almond']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['bitter almond', 'orange blossom', 'vanilla absolute']","It smells like warm vanilla absolute and sweet orange blossom, with a hint of bitter almond."
"['blackberry blossom', 'litchi', 'brazilian rosewood', 'almond', 'rose', 'peach', 'orange blossom', 'freesia', 'praline', 'vanilla', 'sandalowood', 'jasmine', 'musk']","It smells like a sweet blend of peach and orange blossom, with a subtle hint of dry wood and skin."
"['jasmine', 'lemon zest', 'candied almond', 'rose', 'sandalwood']","It smells like citrus peel, sweet rose petals, and warm dry wood."
"['almond', 'orange blossom', 'cyclamen', 'lily-of-the-valley', 'vanilla', 'musk', 'patchouli', 'cedar']","It smells like dry wood, warm resin, and sweet vanilla."
"['heliotrope', 'bergamot', 'cumin', 'almond', 'jasmine', 'lavender', 'vanilla', 'amber', 'sandalwood']","It smells like warm almond and sweet jasmine at first, then bergamot and lavender blend with a hint of dry wood."
"['cumin', 'heliotrope', 'bergamot', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like warm resin, dry wood, and slightly sweet plastic, with hints of lavender and vanilla."
"['almond', 'neroli', 'nectarine', 'galbanum', 'heliotrope', 'white tea', 'tonka bean', 'sandalwood', 'jasmine']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['sweet almond', 'rose mallow', 'rose', 'tonka bean', 'white musk']","It smells like sweet almond and rose mallow at first, then settles into warm resin and dry wood."
"['bergamot', 'mandarin orange', 'almond', 'iris', 'tonka bean', 'virginia cedar']","It smells like citrus peel and sweet almond, with a subtle dry wood and skin undertone."
"['almond', 'cinnamon', 'tonka bean', 'cedar', 'tonka bean', 'sandalwood', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['sour cherry', 'apricot', 'mandarin orange', 'black tea', 'almond', 'rose', 'patchouli', 'white musk']","It smells like sweet cherry and warm almond at first, then a hint of wet leaves and dry wood lingers."
"['orange blossom', 'bergamot', 'orange', 'mandarin orange', 'lemon', 'almond', 'milk', 'praline', 'musk', 'iris', 'vanilla']","It smells like a sweet and tangy mix of citrus peel, orange blossoms, and creamy vanilla, with a subtle dry wood and skin undertone."
"['cherry blossom', 'magnolia', 'heliotrope', 'almond', 'vanilla']","It smells like sweet almond and vanilla at first, then warm resin and dry wood."
"['bergamot', 'orange', 'petitgrain', 'almond', 'orange blossom', 'magnolia', 'milk', 'musk', 'tonka bean']","It smells like bright citrus, sweet orange blossom, and creamy milk at first, then warm resin and dry wood."
"['mandarin orange', 'pink pepper', 'cardamom', 'violet leaf', 'almond', 'white heliotrope', 'benzoin', 'jasmine', 'tonka bean', 'white musk', 'white cedar extract', 'patchouli']","It smells like a sweet combination of mandarin orange and pink pepper, with a subtle hint of warm resin and dry wood."
"['pear', 'almond blossom', 'bergamot', 'almond', 'iris', 'peony', 'musk', 'amber', 'woodsy notes']","It smells like a sweet pear and bergamot opening, then warm resin and slightly sweet plastic, finally settling into dry wood and skin."
"['orange blossom', 'jasmine', 'almond', 'heliotrope', 'incense', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['amaretto', 'almond', 'gardenia', 'neroli', 'cedar', 'iris', 'rose', 'jasmine', 'musk', 'dark chocolate', 'amber', 'caramel', 'vetiver', 'benzoin', 'patchouli']","It smells like dark chocolate and caramel at first, then warm resin and slightly sweet plastic, finally dry wood and skin."
"['orange', 'bergamot', 'petitgrain', 'almond', 'orange blossom', 'magnolia', 'milk', 'tonka bean', 'musk']","It smells like a combination of sweet orange and creamy milk, with subtle hints of warm resin and dry wood."
"['almond', 'floral notes', 'almond cream', 'vanilla']","It smells like almond cream, with notes of warm vanilla and a hint of floral sweetness."
"['amaretto', 'bitter almond', 'bergamot', 'sour cherry', 'liquor', 'nutmeg', 'tonka bean', 'vanilla', 'cardamom', 'sandalwood']","It smells like a combination of sweet almond, warm resin, and dry wood."
"['artemisia', 'citron', 'bergamot', 'mint', 'lavender', 'heliotrope', 'cinnamon', 'geranium', 'almond', 'vanilla absolute', 'hazelnut', 'indonesian myrrh', 'atlas cedar', 'musk']","It smells like citrus peel and warm resin, with hints of dry wood and skin."
"['almond', 'red fruits', 'apple', 'pineapple', 'milk', 'white flowers', 'heliotrope', 'vanilla', 'chocolate', 'cacao', 'musk', 'sandalwood']","It smells like a mix of sweet almond and ripe pineapple, with a subtle hint of dry wood and skin."
"['frangipani', 'almond milk', 'melon', 'benzoin', 'sequoia']","It smells like sweet melon and creamy almond milk at first, then warm resin and dry wood."
"['amaretto', 'orange blossom', 'tonka bean']","It smells like sweet almond and bright orange blossoms at first, then warm resin and slightly sweet plastic."
"['almond', 'tomato leaf', 'bergamot', 'grapefruit', 'cyclamen', 'lily-of-the-valley', 'rose', 'orange blossom', 'musk', 'patchouli', 'vanilla', 'cedar']","It smells like sweet orange blossom, followed by the freshness of tomato leaf and the warmth of musk."
"['almond milk', 'black currant', 'mandarin orange', 'orange', 'heliotrope', 'rose', 'jasmine', 'vanilla', 'musk', 'iris', 'ambergris']","It smells like a sweet and creamy almond milk, followed by a subtle orange and a hint of warm resin."
"['peony', 'almond', 'vanilla']","It smells like sweet vanilla and juicy peony at first, then warm almond and slightly sweet plastic."
"['guatemalan cardamom', 'gooseberry', 'bergamot', 'italian mandarin', 'almond', 'java vetiver oil', 'benzoin', 'driftwood', 'madagascar vanilla', 'musk', 'peru balsam', 'ambergris', 'indonesian patchouli leaf']","It smells like a combination of sweet citrus, fresh berries, and warm spices, with a subtle undertone of damp soil and dry wood."
"['vanilla', 'vanilla', 'biscuit', 'sandalwood', 'almond', 'vanilla', 'styrax']","It smells like dry wood, slightly sweet plastic, and warm vanilla."
"['heliotrope', 'bergamot', 'cumin', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['heliotrope', 'cardamom', 'red pepper', 'bergamot', 'almond', 'lavender', 'jasmine', 'geranium', 'sandalwood', 'guaiac wood', 'vanilla', 'ambergris']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['almond', 'magnolia', 'tonka bean']","It smells like sweet almond, followed by a floral hint of magnolia, and finishing with a warm, slightly sweet plastic note."
"['caramel', 'vanilla', 'amaretto', 'almond', 'cacao', 'honey', 'agarwood (oud)']","It smells like warm caramel and sweet vanilla at first, then honey and almond, finishing with a subtle dry wood and skin."
"['calabrian bergamot', 'water notes', 'grapefruit', 'fig leaf', 'ambroxan', 'black pepper', 'patchouli', 'violet leaf', 'papyrus', 'incense', 'musk', 'tonka bean', 'saffron']","It smells like a blend of citrusy grapefruit and sweet fig leaf, with hints of warm amber and earthy patchouli."
"['bulgarian rose', 'coriander', 'peach', 'jasmine', 'mandarin orange', 'cloves', 'rose', 'orange blossom', 'mimosa', 'clover', 'amber', 'sandalwood', 'tonka bean', 'opoponax', 'civet', 'vanilla', 'labdanum']","It smells like a warm blend of citrus peel, sweet peach, and rose petals at first, then settles into a subtle mix of dry wood, slightly sweet plastic, and skin."
"['vanilla', 'basil', 'bergamot', 'mandarin orange', 'green notes', 'peach', 'lemon', 'spices', 'sandalwood', 'coriander', 'oakmoss', 'cedar', 'orange blossom', 'jasmine', 'rose', 'amber', 'incense', 'vanilla', 'civet', 'musk', 'vetiver']","It smells like warm resin, dry wood, and citrus peel, with subtle hints of skin and fabric."
"['oregano', 'pepper', 'bergamot', 'incense', 'opoponax', 'amber', 'labdanum', 'agarwood (oud)', 'leather', 'sandalwood', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['mandarin orange', 'bergamot', 'lily-of-the-valley', 'myrhh', 'jasmine', 'opoponax', 'amber', 'patchouli', 'vanille']","It smells like citrus peel and warm resin, with notes of wet leaves and slightly sweet fabric."
"['jasmine', 'cashmere wood', 'orris root', 'vanilla pod', 'white amber', 'myrrh', 'incense']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['blackberry', 'olibanum', 'orange', 'labdanum', 'coriander', 'tarragon', 'honey', 'guaiac wood', 'cinnamon', 'bay leaf', 'clove', 'rose', 'orchid', 'celery seeds', 'opoponax', 'agarwood (oud)', 'myrrh', 'patchouli', 'cedar', 'ambergris', 'musk', 'immortelle', 'oakmoss']","It smells like warm resin, tree sap, and slightly sweet plastic, with hints of dry wood and forest floor."
"['black pepper', 'tobacco', 'pineapple', 'patchouli', 'coffee', 'iris', 'vanilla', 'amber', 'dry wood', 'benzoin', 'labdanum']","It smells like warm vanilla, dry wood, and slightly sweet plastic."
"['bergamot', 'angelica', 'patchouli', 'coumarin', 'amber', 'musk']","It smells like warm resin, slightly sweet plastic, and wet leaves."
"['cardamom', 'green apple', 'green mandarin', 'nutmeg', 'lavender', 'orange blossom', 'tonka bean', 'amber', 'leather']","It smells like green apple and green mandarin at first, then warm resin and slightly sweet plastic, finishing with a hint of leather."
"['aldehydes', 'incense', 'clove', 'fruity notes', 'basil', 'green notes', 'bergamot', 'mandarin orange', 'narcissus', 'lily', 'jasmine', 'tuberose', 'mimosa', 'orris root', 'lily-of-the-valley', 'rose', 'orange blossom', 'benzoin', 'myrrh', 'amber', 'sandalwood', 'oakmoss', 'vanilla', 'cedar', 'musk', 'patchouli']","It smells like a blend of sweet citrus, fresh green notes, and warm resin, with hints of dry wood and slightly sweet fabric."
"['lavender', 'myrrh', 'tonka bean', 'vanilla', 'almond']","It smells like warm vanilla and sweet almond at first, then dry wood and slightly sweet plastic, finishing with a hint of dusty fabric."
"['leather', 'bergamot', 'amalfi lemon', 'holly', 'rosemary', 'tea', 'styrax', 'lily-of-the-valley', 'tonka bean', 'incense', 'benzoin', 'almond', 'amber']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['cinnamon', 'honey', 'osmanthus', 'benzoin', 'ambergris', 'labdanum', 'artemisia', 'tonka bean', 'vanila', 'patchouli', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['marigold', 'ginger', 'grapefruit', 'bergamot', 'incense', 'walnut', 'immortelle', 'kiwi', 'honey', 'opoponax', 'coffee', 'sandalwood', 'rose', 'orange blossom', 'jasmine', 'leather', 'benzoin', 'agarwood (oud)', 'amber', 'sandalwood', 'tonka bean', 'oakmoss', 'vanilla', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['violet', 'pink pepper', 'caraway', 'bergamot', 'verbena', 'tuscan iris', 'bulgarian rose', 'black pepper', 'nutmeg', 'geranium', 'clary sage', 'indonesian patchouli leaf', 'amber', 'vanilla', 'civet', 'leather', 'opoponax', 'benzoin', 'vetiver', 'styrax']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['bergamot', 'incense', 'jasmine', 'vanilla', 'benzoin', 'woodsy notes', 'ambroxan']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['jasmine', 'peach', 'rose', 'amber', 'patchouli']","It smells like warm resin, slightly sweet plastic, and wet leaves."
"['pink grapefruit', 'mint', 'sicilian bergamot', 'black currant', 'hiacynth', 'carnation', 'jasmine', 'rose', 'lily-of-the-valley', 'myrrh', 'amber', 'vanilla', 'sandalwood', 'oakmoss', 'singapore patchouli', 'civet', 'musk']","It smells like a sweet and tangy pink grapefruit, followed by a refreshing mint, and finally settles into a warm resin and dry wood."
"['lavender', 'mandarin orange', 'bergamot', 'geranium', 'hedione', 'violet', 'jasmine', 'coriander', 'cinnamon', 'ambroxan', 'amberwood', 'musk', 'balsam fir', 'clearwood']","It smells like citrus peel and light florals at first, then shifts into dry wood, slightly sweet plastic, and skin."
"['mandarin orange', 'turkish rose', 'bulgarian rose', 'amber', 'patchouli', 'vanilla']","It smells like warm resin, slightly sweet plastic, and vanilla."
"['cardamom', 'mandarin orange', 'mandarin leaf', 'myrtle', 'myrrh', 'opoponax', 'incense', 'madagascar vanilla', 'australian sandalwood', 'patchouli']","It smells like mandarin orange zest, followed by warm resin and dry wood, finishing with a hint of wet leaves."
"['pink pepper', 'olibanum', 'saffron', 'nutmeg', 'cardamom', 'caraway', 'myrtle', 'mace', 'myrrh', 'geranium', 'incense', 'agarwood (oud)', 'leather', 'castoreum', 'patchouli', 'cedar', 'sandalowood', 'styrax', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['yuzu', 'bergamot', 'sweet orange', 'mandarin orange', 'nutmeg', 'lotus', 'cinnamon', 'cardamom', 'saffron', 'incense', 'papyrus', 'ambergris', 'benzoin', 'amber']","It smells like warm resin, slightly sweet plastic, and citrus peel."
"['eucalyptus', 'incense', 'chinese cedar', 'clary sage', 'benzoin']","It smells like damp earth and warm resin, with subtle hints of dry wood and skin."
"['bitter orange', 'citruses', 'neroli', 'patchouli', 'orris root', 'rose', 'jasmine', 'white chocolate', 'benzoin', 'amber', 'olibanum', 'incense', 'woody notes', 'musk']","It smells like a blend of citrus peel, wet leaves, and warm resin, with a subtle hint of skin and fabric."
"['pink pepper', 'ylang-ylang', 'angelica', 'palisander rosewood', 'artemisia', 'may rose', 'geranium', 'tuberose', 'jasmine', 'osmanthus', 'incense', 'myrhh', 'patchouli', 'amber', 'sandalwood', 'musk', 'french labdanum']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['amalfi lemon', 'mandarin orange', 'violet', 'virginia cedar', 'coriander', 'amber', 'leather', 'benzoin', 'french labdanum', 'styrax']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['saffron', 'bitter orange', 'coriander', 'praline', 'jasmine', 'amber', 'moss', 'musk']","It smells like warm resin, slightly sweet plastic, and skin."
"['green mandarin', 'coconut nectar', 'amber']","It smells like a sweet and tangy green mandarin, followed by a drizzle of warm coconut nectar and finishing with a rich amber."
"['mandarin orange', 'patchouli', 'agarwood (oud)', 'myrhh', 'french labdanum']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['cardamom', 'cinnamon', 'pink pepper', 'woodsy notes', 'ambergris', 'styrax', 'cedar', 'green notes', 'tahitian vanilla', 'peru balsam', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['ylang-ylang', 'rose', 'tarragon', 'lemon', 'incense', 'rose', 'labdanum', 'artemisia', 'myrrh', 'amber', 'patchouli', 'vetiver', 'musk']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['lily-of-the-valley', 'rose', 'incense', 'incense', 'jasmine', 'orris root', 'myrrh', 'labdanum', 'civet', 'musk', 'sandalwood', 'amber', 'cedar', 'oakmoss', 'ambergris', 'patchouli']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['spices', 'exotic floral notes', 'carnation', 'lily-of-the-valley', 'amber', 'vanilla', 'musk']","It smells like exotic floral notes and warm resin at first, then a hint of skin and fabric, finishing with a sweet and slightly sweet plastic."
"['water notes', 'calabrian bergamot', 'sicilian lemon', 'sage', 'sea notes', 'ambergris', 'apple', 'benzoin', 'amberwood', 'vetiver', 'patchouli', 'sandalwood']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['incense', 'spices', 'cannabis', 'labdanum', 'woody notes', 'patchouli leaf', 'amber', 'guaiac wood', 'vanilla pod', 'white musk']","It smells like warm resin, slightly sweet plastic, and wet leaves."
"['raspberry', 'orange blossom', 'peach', 'bergamot', 'heliotrope', 'orris root', 'ylang-ylang', 'rose', 'jasmine', 'lilac', 'leather', 'benzoin', 'vanilla', 'amber', 'oakmoss', 'musk', 'cedar']","It smells like sweet orange and ripe peach, with hints of warm vanilla and smooth leather."
"['pepperwood\x99', 'galbanum', 'black currant', 'geosmin', 'rose oil', 'olibanum', 'ambroxan', 'patchouli', 'calypsone', 'vetiver']","It smells like damp soil, warm resin, and black currant."
"['iris', 'cypress', 'juniper berries', 'myrhh', 'patchouli', 'woodsy notes', 'honey', 'vanilla', 'amber', 'resins', 'musk', 'leather']","It smells like dry wood, warm resin, and slightly sweet plastic, with hints of honey and vanilla."
"['violet leaf', 'rosemary', 'bergamot', 'orris', 'olibanum', 'myrhh', 'labdanum', 'amber', 'vanilla', 'leather', 'agarwood (oud)', 'sandalwood', 'patchouli', 'cedar']","It smells like warm resin, slightly sweet plastic, and dry wood."
"['pepper', 'apple', 'incense', 'neroli', 'rose', 'lily-of-the-valley', 'cedar', 'vetiver', 'musk']","It smells like a sweet apple and fresh rose at first, then a subtle hint of damp soil and warm resin."
"['labdanum', 'cypress', 'bitter orange', 'calamus', 'incense', 'beeswax', 'cinnamon', 'papyrus', 'moroccan rose', 'egyptian jasmine', 'egyptian balsam', 'amber', 'labdanum', 'benzoin', 'agarwood (oud)', 'cedar', 'vanilla']","It smells like warm resin, slightly sweet plastic, and dry wood."
