all_notes,target_description
"['citruses', 'orange blossom', 'rosemary', 'bitter orange', 'almond', 'tonka bean', 'leather', 'cedar', 'vetiver']","It smells like citrus peel, soap, and juicy orange at first, then leather, sawdust, and damp soil."
"['heliotrope', 'cumin', 'bergamot', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like warm citrus and soap at first, then sweet vanilla and gentle lavender, with a dry wood and sawdust undertone."
"['amaretto', 'bitter almond', 'gardenia', 'neroli', 'cedar', 'iris', 'musk', 'jasmine', 'rose', 'vetiver', 'patchouli', 'benzoin', 'amber', 'cedar', 'dark chocolate', 'caramel']","It smells like warm caramel and juicy fruit at first, then sweet soap and dry wood, with a hint of damp soil and roots."
"['almond', 'fruity notes', 'musk', 'rose', 'jasmine', 'vanilla', 'resin', 'amber']","It smells like sweet almond and juicy fruit at first, then warm musk and soft rose petals."
"['magnolia', 'calabrian bergamot', 'orange blossom', 'green almond', 'vanilla']","It smells like a combination of citrusy orange and sweet vanilla, with hints of green and grassy notes."
"['almond', 'brazilian rosewood', 'rose', 'geranium', 'plum', 'virginia cedar', 'celery', 'heliotrope', 'tonka bean', 'musk']","It smells like a sweet, juicy plum and a hint of soap, with a subtle undertone of warm sawdust and skin."
"['almond milk', 'bergamot', 'pink pepper', 'heliotrope', 'jasmine sambac', 'carnation', 'sandalwood', 'cashmere wood', 'benzoin']","It smells like sweet almond milk and soap, with a subtle hint of citrus and a dry, woody base that's reminiscent of sawdust and pencil shavings."
"['almond', 'cinnamon', 'mimosa', 'honey', 'heliotrope', 'black rose', 'labdanum', 'vanilla', 'cacao pod', 'white musk', 'peru balsam', 'agarwood (oud)']","It smells like sweet caramel and honey at first, then warm vanilla and creamy musk."
"['orange blossom', 'jasmine sambac', 'almond milk', 'heliotrope', 'iris', 'suede', 'leather', 'incense', 'patchouli']","It smells like sweet citrus and soap at first, then incense smoke and damp earth."
"['amaretto', 'amber', 'hibiscus', 'bulgarian rose', 'vanilla', 'amber', 'white pepper', 'white flowers', 'cherry', 'almond', 'tonka bean', 'styrax', 'cedar']","It smells like warm glue, sweet cherry, and a hint of dry wood."
"['narcissus', 'night blooming jasmine', 'almond', 'sandalwood']","It smells like sweet almond and soap at first, then warm skin and sawdust."
"['almond', 'orange blossom', 'petitgrain', 'bergamot', 'heliotrope', 'iris', 'ylang-ylang', 'jasmine', 'rose', 'vanilla', 'tonka bean', 'tolu balsam', 'peru balsam', 'musk']","It smells like citrus, warm sugar, and fresh laundry at first, then dry wood, glue, and a hint of smoky spice."
"['violet leaf', 'cardamom', 'red currant', 'almond', 'lily-of-the-valley', 'jasmine', 'heliotrope', 'musk', 'benzoin']","It smells like sweet violet, followed by a subtle hint of soap and crushed leaves, finishing with a smooth, powdery dry down."
"['damask rose', 'sour cherry', 'almond milk', 'madagascar vanilla', 'woodsy notes']","It smells like sweet cherry and creamy milk at first, then it's like walking through a forest with damp soil and crushed leaves."
"['almond', 'lemon', 'virginia cedar', 'vanilla', 'musk']","It smells like citrus peel and soap at first, then almond and vanilla, with a subtle hint of sawdust and skin."
"['pink pepper', 'bergamot', 'indian mandarin', 'rose', 'heliotrope', 'almond']","It smells like citrusy soap and fresh-cut grass at first, then sweet almond and rose petals."
"['almond', 'peach', 'almond blossom', 'white flowers', 'tonka bean', 'white musk', 'amber']","It smells like sweet almond, followed by a subtle hint of peach, and finishing with a warm, resinous amber and a dry, woody undertone."
"['orchid', 'heliotrope', 'tangerine', 'almond', 'coconut', 'sandalwood']","It smells like citrus peel and soap at first, then warm coconut and toasted almond."
"['almond', 'almond blossom', 'lemon', 'caramel', 'jasmine sambac', 'vanilla', 'sandalwood']","It smells like caramel, juicy lemon, and sweet almond blossom at first, then warm sandalwood and dry wood."
"['orange blossom', 'jasmine sambac', 'almond milk', 'heliotrope', 'iris', 'suede', 'incense', 'patchouli']","It smells like a combination of juicy orange and sweet cream, with a dry, earthy undertone that's reminiscent of forest floor and old books."
"['cacao', 'ambergris', 'bitter almond']","It smells like rich caramel and warm skin at first, then it transitions to a sweet, fruity scent with hints of glue and sawdust."
"['bitter almond', 'orange blossom', 'vanilla absolute']","It smells like sweet orange and soap at first, then warm vanilla and a hint of juicy fruit."
"['blackberry blossom', 'litchi', 'brazilian rosewood', 'almond', 'rose', 'peach', 'orange blossom', 'freesia', 'praline', 'vanilla', 'sandalowood', 'jasmine', 'musk']","It smells like sweet orange blossom and juicy peach at first, then warm praline and soft vanilla."
"['jasmine', 'lemon zest', 'candied almond', 'rose', 'sandalwood']","It smells like a combination of citrusy lemon zest and floral soap, with a subtle hint of sawdust and a sweet, caramel-like undertone."
"['almond', 'orange blossom', 'cyclamen', 'lily-of-the-valley', 'vanilla', 'musk', 'patchouli', 'cedar']","It smells like orange blossom, with notes of soap, followed by the scent of wet leaves and forest floor, finishing with a hint of dry wood and sawdust."
"['heliotrope', 'bergamot', 'cumin', 'almond', 'jasmine', 'lavender', 'vanilla', 'amber', 'sandalwood']","It smells like a sweet blend of citrus peel and soap at first, then warm plastic and sawdust."
"['cumin', 'heliotrope', 'bergamot', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like warm citrus and fresh soap at first, then caramel and sawdust."
"['almond', 'neroli', 'nectarine', 'galbanum', 'heliotrope', 'white tea', 'tonka bean', 'sandalwood', 'jasmine']","It smells like juicy nectarine and soap at first, then sweet galbanum and sawdust, with a dry wooden undertone."
"['sweet almond', 'rose mallow', 'rose', 'tonka bean', 'white musk']","It smells like sweet caramel, followed by soap and fresh powder, with a subtle hint of glue and dry wood."
"['bergamot', 'mandarin orange', 'almond', 'iris', 'tonka bean', 'virginia cedar']","It smells like citrus peel, soap, and juicy fruit at first, then warm glue and sawdust."
"['almond', 'cinnamon', 'tonka bean', 'cedar', 'tonka bean', 'sandalwood', 'musk']","It smells like warm almond and sweet cinnamon at first, then musky skin and sawdust."
"['sour cherry', 'apricot', 'mandarin orange', 'black tea', 'almond', 'rose', 'patchouli', 'white musk']","It smells like a sweet and tangy combination of juicy apricots and sour cherries, with a subtle hint of wet leaves and forest floor."
"['orange blossom', 'bergamot', 'orange', 'mandarin orange', 'lemon', 'almond', 'milk', 'praline', 'musk', 'iris', 'vanilla']","It smells like citrus peel, soap, and sweet orange at first, then creamy milk and warm praline."
"['cherry blossom', 'magnolia', 'heliotrope', 'almond', 'vanilla']","It smells like sweet cherry blossom, followed by a hint of almond and then a warm, comforting vanilla."
"['bergamot', 'orange', 'petitgrain', 'almond', 'orange blossom', 'magnolia', 'milk', 'musk', 'tonka bean']","It smells like citrus peel and soap at first, then warm milk, skin, and sawdust."
"['mandarin orange', 'pink pepper', 'cardamom', 'violet leaf', 'almond', 'white heliotrope', 'benzoin', 'jasmine', 'tonka bean', 'white musk', 'white cedar extract', 'patchouli']","It smells like sweet citrus peel and fresh soap at first, then it warms up to a subtle blend of sawdust and smoke."
"['pear', 'almond blossom', 'bergamot', 'almond', 'iris', 'peony', 'musk', 'amber', 'woodsy notes']","It smells like a mix of citrus peel and soap at first, followed by notes of warm plastic and sawdust."
"['orange blossom', 'jasmine', 'almond', 'heliotrope', 'incense', 'patchouli']","It smells like orange blossom, followed by a sweet blend of soap and fizzy air, with subtle hints of smoke and dry wood."
"['amaretto', 'almond', 'gardenia', 'neroli', 'cedar', 'iris', 'rose', 'jasmine', 'musk', 'dark chocolate', 'amber', 'caramel', 'vetiver', 'benzoin', 'patchouli']","It smells like sweet caramel, fresh iris, and warm musk at first, then damp soil, roots, and clean laundry."
"['orange', 'bergamot', 'petitgrain', 'almond', 'orange blossom', 'magnolia', 'milk', 'tonka bean', 'musk']","It smells like citrus, sweet orange, and soap at first, then warm milk and almond."
"['almond', 'floral notes', 'almond cream', 'vanilla']","It smells like almond cream, with notes of soap and caramel."
"['amaretto', 'bitter almond', 'bergamot', 'sour cherry', 'liquor', 'nutmeg', 'tonka bean', 'vanilla', 'cardamom', 'sandalwood']","It smells like sour cherry and sugar at first, then bergamot, nutmeg, and pencil shavings."
"['artemisia', 'citron', 'bergamot', 'mint', 'lavender', 'heliotrope', 'cinnamon', 'geranium', 'almond', 'vanilla absolute', 'hazelnut', 'indonesian myrrh', 'atlas cedar', 'musk']","It smells like citrus peel, soap, and candy at first, then warm plastic, sawdust, and skin."
"['almond', 'red fruits', 'apple', 'pineapple', 'milk', 'white flowers', 'heliotrope', 'vanilla', 'chocolate', 'cacao', 'musk', 'sandalwood']","It smells like sweet vanilla, juicy pineapple, and a hint of skin musk."
"['frangipani', 'almond milk', 'melon', 'benzoin', 'sequoia']","It smells like sweet melon and soap, with a hint of glue and sawdust."
"['amaretto', 'orange blossom', 'tonka bean']","It smells like almond extract, orange zest, and vanilla at first, then sweet caramel and creamy milk."
"['almond', 'tomato leaf', 'bergamot', 'grapefruit', 'cyclamen', 'lily-of-the-valley', 'rose', 'orange blossom', 'musk', 'patchouli', 'vanilla', 'cedar']","It smells like citrus peel, fresh soap, and sweet vanilla at first, then warm glue and sawdust."
"['almond milk', 'black currant', 'mandarin orange', 'orange', 'heliotrope', 'rose', 'jasmine', 'vanilla', 'musk', 'iris', 'ambergris']","It smells like a combination of sweet mandarin orange and juicy black currant, with notes of fresh heliotrope and warm vanilla, finishing with a subtle musk and a hint of earthy iris."
"['peony', 'almond', 'vanilla']","It smells like sweet peony and fresh almond, with a hint of creamy vanilla."
"['guatemalan cardamom', 'gooseberry', 'bergamot', 'italian mandarin', 'almond', 'java vetiver oil', 'benzoin', 'driftwood', 'madagascar vanilla', 'musk', 'peru balsam', 'ambergris', 'indonesian patchouli leaf']","It smells like citrus peel and soap at first, then warm plastic and forest floor."
"['vanilla', 'vanilla', 'biscuit', 'sandalwood', 'almond', 'vanilla', 'styrax']","It smells like a sweet almond aroma at first, then warm vanilla, and finally, a dry, woody scent with a hint of burnt wood."
"['heliotrope', 'bergamot', 'cumin', 'bitter almond', 'lavender', 'jasmine', 'vanilla', 'sandalwood', 'amber']","It smells like citrus peel and soap at first, then warm plastic, bitter fruit, and dry wood."
"['heliotrope', 'cardamom', 'red pepper', 'bergamot', 'almond', 'lavender', 'jasmine', 'geranium', 'sandalwood', 'guaiac wood', 'vanilla', 'ambergris']","It smells like a combination of juicy citrus, sweet vanilla, and warm spices at first, then a subtle hint of smoky wood and dry earth."
"['almond', 'magnolia', 'tonka bean']","It smells like sweet almond and freshly cut grass at first, then warm magnolia and rich tonka bean."
"['caramel', 'vanilla', 'amaretto', 'almond', 'cacao', 'honey', 'agarwood (oud)']","It smells like caramel, honey, and sugar at first, then warm vanilla and toasted almonds."
"['calabrian bergamot', 'water notes', 'grapefruit', 'fig leaf', 'ambroxan', 'black pepper', 'patchouli', 'violet leaf', 'papyrus', 'incense', 'musk', 'tonka bean', 'saffron']","It smells like citrus peel, grapefruit, and soap at first, then fig leaf, smoke, and sawdust."
"['bulgarian rose', 'coriander', 'peach', 'jasmine', 'mandarin orange', 'cloves', 'rose', 'orange blossom', 'mimosa', 'clover', 'amber', 'sandalwood', 'tonka bean', 'opoponax', 'civet', 'vanilla', 'labdanum']","It smells like a blend of juicy peach and sweet orange, with notes of warm spices and a hint of smoky incense."
"['vanilla', 'basil', 'bergamot', 'mandarin orange', 'green notes', 'peach', 'lemon', 'spices', 'sandalwood', 'coriander', 'oakmoss', 'cedar', 'orange blossom', 'jasmine', 'rose', 'amber', 'incense', 'vanilla', 'civet', 'musk', 'vetiver']","It smells like citrus peel and soap at first, then sweet caramel and warm glue, finally finishing with damp soil and dry wood."
"['oregano', 'pepper', 'bergamot', 'incense', 'opoponax', 'amber', 'labdanum', 'agarwood (oud)', 'leather', 'sandalwood', 'patchouli']","It smells like citrus peel, warm glue, and sawdust."
"['mandarin orange', 'bergamot', 'lily-of-the-valley', 'myrhh', 'jasmine', 'opoponax', 'amber', 'patchouli', 'vanille']","It smells like citrusy mandarin, followed by sweet vanilla and earthy wet leaves."
"['jasmine', 'cashmere wood', 'orris root', 'vanilla pod', 'white amber', 'myrrh', 'incense']","It smells like warm vanilla and sweet caramel at first, then earthy damp soil and smoky wood."
"['blackberry', 'olibanum', 'orange', 'labdanum', 'coriander', 'tarragon', 'honey', 'guaiac wood', 'cinnamon', 'bay leaf', 'clove', 'rose', 'orchid', 'celery seeds', 'opoponax', 'agarwood (oud)', 'myrrh', 'patchouli', 'cedar', 'ambergris', 'musk', 'immortelle', 'oakmoss']","It smells like sweet orange, followed by warm honey, and finishing with a dry, woody scent like sawdust and pencil shavings."
"['black pepper', 'tobacco', 'pineapple', 'patchouli', 'coffee', 'iris', 'vanilla', 'amber', 'dry wood', 'benzoin', 'labdanum']","It smells like warm pineapple and soap at first, then dry wood and a hint of glue."
"['bergamot', 'angelica', 'patchouli', 'coumarin', 'amber', 'musk']","It smells like citrus peel, soap, and warm plastic at first, then wet leaves and forest floor."
"['cardamom', 'green apple', 'green mandarin', 'nutmeg', 'lavender', 'orange blossom', 'tonka bean', 'amber', 'leather']","It smells like green apple, orange blossom, and soap at first, then a hint of leather and sawdust."
"['aldehydes', 'incense', 'clove', 'fruity notes', 'basil', 'green notes', 'bergamot', 'mandarin orange', 'narcissus', 'lily', 'jasmine', 'tuberose', 'mimosa', 'orris root', 'lily-of-the-valley', 'rose', 'orange blossom', 'benzoin', 'myrrh', 'amber', 'sandalwood', 'oakmoss', 'vanilla', 'cedar', 'musk', 'patchouli']","It smells like a mix of citrusy sweetness, freshly cut grass, and warm glue at first, then smoky incense and dry wood notes emerge, finally settling into a subtle sweetness like caramel."
"['lavender', 'myrrh', 'tonka bean', 'vanilla', 'almond']","It smells like sweet vanilla and powdery flowers at first, then it's like warm almond milk and crushed leaves, with a hint of dry wood and sawdust."
"['leather', 'bergamot', 'amalfi lemon', 'holly', 'rosemary', 'tea', 'styrax', 'lily-of-the-valley', 'tonka bean', 'incense', 'benzoin', 'almond', 'amber']","It smells like citrus peel, soap, and sweet candy."
"['cinnamon', 'honey', 'osmanthus', 'benzoin', 'ambergris', 'labdanum', 'artemisia', 'tonka bean', 'vanila', 'patchouli', 'musk']","It smells like warm honey, sweet vanilla, and a hint of forest floor."
"['marigold', 'ginger', 'grapefruit', 'bergamot', 'incense', 'walnut', 'immortelle', 'kiwi', 'honey', 'opoponax', 'coffee', 'sandalwood', 'rose', 'orange blossom', 'jasmine', 'leather', 'benzoin', 'agarwood (oud)', 'amber', 'sandalwood', 'tonka bean', 'oakmoss', 'vanilla', 'musk']","It smells like a combination of citrusy kiwi and sweet honey at first, then warm musk and sawdust, finishing with a hint of smoky incense and vanilla."
"['violet', 'pink pepper', 'caraway', 'bergamot', 'verbena', 'tuscan iris', 'bulgarian rose', 'black pepper', 'nutmeg', 'geranium', 'clary sage', 'indonesian patchouli leaf', 'amber', 'vanilla', 'civet', 'leather', 'opoponax', 'benzoin', 'vetiver', 'styrax']","It smells like a blend of citrusy soap and forest floor, with hints of glue and damp soil."
"['bergamot', 'incense', 'jasmine', 'vanilla', 'benzoin', 'woodsy notes', 'ambroxan']","It smells like citrus peel, soap, and sweet caramel at first, then smoke and sawdust."
"['jasmine', 'peach', 'rose', 'amber', 'patchouli']","It smells like juicy peach and warm sugar at first, then forest floor and glue."
"['pink grapefruit', 'mint', 'sicilian bergamot', 'black currant', 'hiacynth', 'carnation', 'jasmine', 'rose', 'lily-of-the-valley', 'myrrh', 'amber', 'vanilla', 'sandalwood', 'oakmoss', 'singapore patchouli', 'civet', 'musk']","It smells like a combination of citrus peel, soap, and candy-like fruit, with subtle notes of glue and sawdust."
"['lavender', 'mandarin orange', 'bergamot', 'geranium', 'hedione', 'violet', 'jasmine', 'coriander', 'cinnamon', 'ambroxan', 'amberwood', 'musk', 'balsam fir', 'clearwood']","It smells like citrus peel and soap at first, then it's like someone lit a candle with a rubbery scent, and finally, it's like walking through a forest floor with a hint of sawdust."
"['mandarin orange', 'turkish rose', 'bulgarian rose', 'amber', 'patchouli', 'vanilla']","It smells like juicy mandarin and soap, with a dry, woody undertone and a hint of glue."
"['cardamom', 'mandarin orange', 'mandarin leaf', 'myrtle', 'myrrh', 'opoponax', 'incense', 'madagascar vanilla', 'australian sandalwood', 'patchouli']","It smells like citrus peel and soap at first, then rubber, smoke, and sawdust."
"['pink pepper', 'olibanum', 'saffron', 'nutmeg', 'cardamom', 'caraway', 'myrtle', 'mace', 'myrrh', 'geranium', 'incense', 'agarwood (oud)', 'leather', 'castoreum', 'patchouli', 'cedar', 'sandalowood', 'styrax', 'musk']","It smells like sweet citrus, wet leaves, and forest floor."
"['yuzu', 'bergamot', 'sweet orange', 'mandarin orange', 'nutmeg', 'lotus', 'cinnamon', 'cardamom', 'saffron', 'incense', 'papyrus', 'ambergris', 'benzoin', 'amber']","It smells like citrus peel and soap at first, then warm plastic and sawdust."
"['eucalyptus', 'incense', 'chinese cedar', 'clary sage', 'benzoin']","It smells like eucalyptus, incense, and sawdust, with a sweet undertone of caramel and sugar."
"['bitter orange', 'citruses', 'neroli', 'patchouli', 'orris root', 'rose', 'jasmine', 'white chocolate', 'benzoin', 'amber', 'olibanum', 'incense', 'woody notes', 'musk']","It smells like citrus peel, wet leaves, and warm plastic."
"['pink pepper', 'ylang-ylang', 'angelica', 'palisander rosewood', 'artemisia', 'may rose', 'geranium', 'tuberose', 'jasmine', 'osmanthus', 'incense', 'myrhh', 'patchouli', 'amber', 'sandalwood', 'musk', 'french labdanum']","It smells like sweet flowers, warm glue, and dry wood."
"['amalfi lemon', 'mandarin orange', 'violet', 'virginia cedar', 'coriander', 'amber', 'leather', 'benzoin', 'french labdanum', 'styrax']","It smells like a mix of citrusy mandarin and sweet soap, with hints of warm rubber and smoky sawdust."
"['saffron', 'bitter orange', 'coriander', 'praline', 'jasmine', 'amber', 'moss', 'musk']","It smells like citrus peel and soap at first, then warm plastic, smoke, and sawdust."
"['green mandarin', 'coconut nectar', 'amber']","It smells like green mandarin, with a hint of soap, followed by the scent of warm plastic and crushed leaves."
"['mandarin orange', 'patchouli', 'agarwood (oud)', 'myrhh', 'french labdanum']","It smells like citrus peel and soap at first, then wet leaves, glue, and sawdust."
"['cardamom', 'cinnamon', 'pink pepper', 'woodsy notes', 'ambergris', 'styrax', 'cedar', 'green notes', 'tahitian vanilla', 'peru balsam', 'musk']","It smells like warm spices, sweet vanilla, and a hint of glue at first, then crushed leaves and sawdust, finally ending with a subtle skin-like musk."
"['ylang-ylang', 'rose', 'tarragon', 'lemon', 'incense', 'rose', 'labdanum', 'artemisia', 'myrrh', 'amber', 'patchouli', 'vetiver', 'musk']","It smells like a mix of citrus peel, soap, and rubber at first, then smoke and sawdust."
"['lily-of-the-valley', 'rose', 'incense', 'incense', 'jasmine', 'orris root', 'myrrh', 'labdanum', 'civet', 'musk', 'sandalwood', 'amber', 'cedar', 'oakmoss', 'ambergris', 'patchouli']","It smells like warm plastic and smoke at first, then skin, dry wood, and crushed leaves."
"['spices', 'exotic floral notes', 'carnation', 'lily-of-the-valley', 'amber', 'vanilla', 'musk']","It smells like soap, warm plastic, and a hint of crushed leaves."
"['water notes', 'calabrian bergamot', 'sicilian lemon', 'sage', 'sea notes', 'ambergris', 'apple', 'benzoin', 'amberwood', 'vetiver', 'patchouli', 'sandalwood']","It smells like citrus and soap at first, then a mix of glue, rubber, and sawdust."
"['incense', 'spices', 'cannabis', 'labdanum', 'woody notes', 'patchouli leaf', 'amber', 'guaiac wood', 'vanilla pod', 'white musk']","It smells like warm plastic, wet leaves, and forest floor."
"['raspberry', 'orange blossom', 'peach', 'bergamot', 'heliotrope', 'orris root', 'ylang-ylang', 'rose', 'jasmine', 'lilac', 'leather', 'benzoin', 'vanilla', 'amber', 'oakmoss', 'musk', 'cedar']","It smells like citrus, sweet orange, and juicy peach at first, then warm rubber and a hint of old books."
"['pepperwood\x99', 'galbanum', 'black currant', 'geosmin', 'rose oil', 'olibanum', 'ambroxan', 'patchouli', 'calypsone', 'vetiver']","It smells like a blend of wet leaves, forest floor, and a hint of soap, with a subtle sweetness and a dry, woody undertone."
"['iris', 'cypress', 'juniper berries', 'myrhh', 'patchouli', 'woodsy notes', 'honey', 'vanilla', 'amber', 'resins', 'musk', 'leather']","It smells like wet leaves, honey, and sawdust."
"['violet leaf', 'rosemary', 'bergamot', 'orris', 'olibanum', 'myrhh', 'labdanum', 'amber', 'vanilla', 'leather', 'agarwood (oud)', 'sandalwood', 'patchouli', 'cedar']","It smells like citrus and soap at first, then warm plastic and forest floor."
"['pepper', 'apple', 'incense', 'neroli', 'rose', 'lily-of-the-valley', 'cedar', 'vetiver', 'musk']","It smells like sweet pepper and juicy apple at first, then smoke and sawdust, with a hint of damp soil and skin."
"['labdanum', 'cypress', 'bitter orange', 'calamus', 'incense', 'beeswax', 'cinnamon', 'papyrus', 'moroccan rose', 'egyptian jasmine', 'egyptian balsam', 'amber', 'labdanum', 'benzoin', 'agarwood (oud)', 'cedar', 'vanilla']","It smells like sweet citrus, warm caramel, and smoky embers, with notes of sawdust and dry wood."
