all_notes,mainaccord1,embedding_id
"['black cherry', 'raspberry', 'jasmine', 'rose', 'mimosa', 'vanilla', 'birch', 'vetiver']",cherry,4415
"['black currant', 'pink pepper', 'bergamot', 'jasmine', 'jasmine sambac', 'jasmine tea', 'bourbon vanilla', 'cashmeran', 'guaiac wood']",woody,16030
"['bergamot', 'ginger', 'mandarin orange', 'cardamom', 'lily', 'jasmine', 'violet leaf', 'pink pepper', 'rose', 'peony', 'black currant', 'woody notes', 'oakmoss', 'white musk', 'palisander rosewood', 'amber', 'vanilla', 'praline']",citrus,3948
"['nutmeg', 'gardenia', 'african orange flower', 'green notes', 'bergamot', 'tuberose', 'jasmine', 'honeysuckle', 'iris', 'peony', 'mace', 'vanilla', 'amber', 'woodsy notes', 'guaiac wood', 'virginia cedar']",white floral,10276
"['watery notes', 'grapefruit', 'raspberry', 'peony', 'jasmine', 'iris', 'pink pepper', 'suede', 'cedar', 'amber']",aquatic,6945
"['metallic notes', 'aldehydes', 'cardamon', 'black pepper', 'water notes', 'violet leaf', 'ginger', 'neroli', 'lavender', 'beeswax', 'leather', 'lime (linden blossom)', 'cyclamen', 'oakmoss', 'honey', 'woody notes', 'amber', 'tonka bean', 'patchouli', 'vanilla', 'white musk', 'myrrh', 'cedar', 'gurjan balsam']",lavender,18657
"['peach', 'citruses', 'plum', 'bergamot', 'mandarin orange', 'cinnamon', 'jasmine', 'lily-of-the-valley', 'vanille', 'sandalwood', 'amber', 'musk']",cinnamon,10324
"['litchi', 'cassis', 'mandarin orange', 'water lily', 'peony', 'jasmine', 'ambroxan', 'praline', 'musk', 'vanilla', 'oak moss']",fresh,19632
"['ginger', 'saffron', 'coriander', 'heliotrope', 'tobacco', 'agarwood (oud)', 'amberwood', 'olibanum', 'bourbon vanilla', 'cedar', 'musk', 'labdanum']",tobacco,19567
"['fennel', 'mint', 'green notes', 'clary sage', 'oakmoss', 'fern', 'angelica', 'clover', 'galbanum', 'violet leaf', 'mastic or lentisque', 'oakmoss', 'soil tincture', 'boletus edulis', 'chestnut', 'vetiver', 'resins', 'pine tree needles', 'labdanum', 'leather']",earthy,6433
"['lavender', 'bergamot', 'green leaves', 'coffee', 'cedar', 'vanilla', 'patchouli', 'tonka bean', 'amber']",coffee,17954
"['watermelon', 'peach', 'bergamot', 'plum', 'violet', 'pine tree needles', 'mint', 'galbanum', 'carnation', 'cyclamen', 'hiacynth', 'lily', 'jasmine', 'rose', 'oakmoss', 'leather', 'cedar', 'musk', 'amber']",ozonic,19574
"['pineapple leaf', 'mandarin orange', 'bergamot', 'jasmine', 'brazilian rosewood', 'patchouli', 'vanilla', 'musk']",patchouli,11195
"['bergamot', 'petitgrain', 'lime (linden) blossom', 'lily-of-the-valley', 'tarragon', 'jasmine', 'rose', 'beeswax']",yellow floral,8643
"['black pepper', 'sage', 'truffle', 'woodsy notes', 'vanila', 'frankincense']",earthy,9248
"['dew drop', 'green leaves', 'clove', 'bluebell', 'persimmon', 'peach', 'musk', 'powdery notes']",musky,11256
"['apple', 'sea notes', 'mint', 'coffee', 'milk', 'amber', 'leather', 'cedar', 'sandalwood', 'ambergris', 'musk']",coffee,10143
"['lime (linden blossom)', 'lily-of-the-valley', 'lilac', 'magnolia', 'bergamot', 'mandarin orange', 'jasmine', 'tuberose', 'ylang-ylang', 'peach', 'bulgarian rose', 'violet', 'carnation', 'nutmeg', 'musk', 'iris', 'sandalwood', 'amber', 'vanilla', 'cloves']",floral,7119
"['jasmine', 'orange', 'bergamot', 'sicilian mandarin', 'gardenia', 'orange blossom', 'sandalwood', 'white amber', 'cedar', 'white musk']",white floral,13119
"['lavender', 'citruses', 'cappuccino', 'cedar', 'vanilla']",coffee,17093
"['pepper', 'orange blossom', 'patchouli', 'lavender', 'coffee', 'milk', 'tonka bean', 'siam benzoin', 'cypriol oil or nagarmotha', 'vanilla', 'cedar', 'vetiver']",lavender,12242
"['truffle', 'bergamot', 'strawberry', 'jasmine', 'tuberose', 'african orange flower', 'vanille', 'amber', 'virginia cedar']",white floral,9664
"['almond', 'lime', 'pear', 'candied almond', 'sugar', 'peony', 'vanilla', 'tonka bean', 'amber', 'mahogany']",sweet,11197
"['chestnut', 'sugar', 'sage', 'lavender', 'vanilla', 'smoke']",vanilla,19324
"['tea leaf', 'black pepper', 'cardamom', 'whiskey', 'incense', 'opium', 'birch', 'tobacco', 'agarwood (oud)']",smoky,9717
"['pear', 'tangerine', 'bergamot', 'strawberry', 'vanilla orchid', 'black rose', 'passionfruit', 'praline', 'caramel', 'litchi', 'vanilla', 'patchouli', 'incense', 'coffee', 'licorice', 'coumarin', 'papyrus']",sweet,14157
"['rose petals', 'lemon', 'bergamot', 'rose', 'salt', 'lime (linden) blossom', 'grass', 'sea water', 'musk', 'oakmoss']",marine,4962
"['lavender', 'clary sage', 'leather', 'bitter almond', 'vanilla', 'orris', 'leather', 'tonka bean', 'cashmeran', 'white woods', 'amber']",aromatic,5797
"['rhubarb', 'violet leaf', 'lily-of-the-valley', 'rose', 'oakmoss', 'patchouli', 'musk']",white floral,1086
"['apple', 'tea', 'ozonic notes', 'mandarin orange', 'osmanthus', 'magnolia', 'lily', 'earthy notes', 'patchouli', 'jasmine', 'amber', 'orris', 'bamboo', 'musk', 'civet', 'sandalwood', 'vanilla']",earthy,3932
"['licorice', 'lime', 'star anise', 'cacao pod', 'violet', 'jasmine', 'amber', 'patchouli', 'sandalwood', 'cedar']",soft spicy,15009
"['pink pepper', 'red currant', 'bay leaf', 'rose', 'lotus', 'patchouli', 'vanilla', 'amber', 'musk']",soft spicy,9628
"['ginger', 'bitter orange', 'jasmine sambac', 'orange blossom', 'rose', 'honey', 'amber', 'caramel', 'vanilla', 'sandalwood', 'cashmere wood']",honey,12808
"['pear', 'apple', 'citruses', 'ambrette (musk mallow)', 'amyl salicylate', 'moss', 'jasmine', 'iso e super', 'cetalox', 'ambrettolide', 'helvetolide']",musky,12816
"['green notes', 'rice flower', 'iris', 'bergamot', 'lotus', 'rhubarb', 'lily', 'ginger', 'orchid', 'musk', 'sandalwood', 'amber']",green,3264
"['pear', 'black currant', 'pink pepper', 'grapefruit', 'pineapple', 'rose', 'jasmine', 'heliotrope', 'vanilla', 'cedar', 'amberwood', 'patchouli']",fruity,5740
"['ginger', 'bitter orange', 'mandarin orange', 'bergamot', 'kulfi', 'rose', 'orange blossom', 'jasmine', 'vanilla', 'amber', 'sandalwood', 'mastic or lentisque']",sweet,19534
"['lemon', 'bergamot', 'neroli', 'rose de mai', 'hyacinth', 'cedar', 'clary sage', 'geranium', 'tonka bean', 'musk', 'amber']",citrus,19538
"['orris root', 'rum', 'iris', 'rose', 'jasmine', 'agarwood (oud)', 'woodsy notes', 'civetta']",iris,14747
"['peach', 'apricot', 'pear', 'black currant', 'green apple', 'sandalwood', 'jasmine', 'moss', 'vanilla', 'cedar', 'musk']",fruity,11718
"['anise', 'spices', 'melon', 'eucalyptus', 'woodsy notes', 'musk']",anis,815
"['narcissus', 'night blooming jasmine', 'almond', 'sandalwood']",almond,6868
"['pear', 'mandarin orange', 'green notes', 'orchid', 'toffee', 'patchouli']",sweet,5490
"['frankincense', 'raspberry', 'saffron', 'pear', 'musk', 'damask rose', 'orange blossom', 'agarwood', 'leather', 'patchouli', 'ambergris']",oud,21352
"['black currant', 'mandarin orange', 'orange blossom', 'hibiscus seed', 'grapefruit blossom', 'patchouli', 'amber', 'musk']",patchouli,3681
"['peach', 'bergamot', 'mandarin orange', 'lemon', 'water lily', 'mimosa', 'tuberose', 'melon', 'lotus', 'pineapple', 'jasmine', 'lily-of-the-valley', 'rose', 'patchouli', 'black locust', 'sandalwood', 'cedar', 'tonka bean']",white floral,2359
"['beeswax', 'birch', 'cloves', 'cardamom', 'leather', 'turkish rose', 'orange blossom', 'jasmine', 'civet', 'beeswax', 'agarwood (oud)', 'sandalwood', 'amber', 'cedar', 'patchouli', 'vetiver', 'cypriol oil or nagarmotha', 'musk']",animalic,21270
"['peach', 'mandarin orange', 'orange', 'caramel', 'orange blossom', 'jasmine', 'amber', 'sandalwood', 'guaiac wood', 'cedar']",caramel,10656
"['litchi', 'peony', 'amalfi lemon', 'pink pepper', 'rose', 'jasmine', 'freesia', 'patchouli', 'vetiver', 'cedar', 'ambrette (musk mallow)']",woody,13893
"['orange', 'violet', 'rooibos tea', 'cinnamon', 'iris', 'incense', 'vanilla']",smoky,11490
"['cappuccino', 'coffee', 'sweet notes', 'coffee', 'caramel', 'almond', 'vanilla', 'resin', 'amber']",coffee,6135
"['brazilian rosewood', 'coriander', 'mahogany', 'sicilian mandarin', 'cinnamon', 'damask rose', 'carnation', 'sandalwood', 'tobacco', 'vanilla', 'leather', 'amber', 'ambrette (musk mallow)']",woody,17965
"['citruses', 'cassia', 'pink pepper', 'lily-of-the-valley', 'mimosa', 'violet', 'heliotrope', 'vetiver', 'vanilla']",fresh,3168
"['spices', 'aldehydes', 'narcissus', 'lavender', 'orange', 'peach', 'coca-cola', 'bergamot', 'spicy notes', 'cloves', 'cinnamon', 'rose', 'ylang-ylang', 'jasmine', 'lily-of-the-valley', 'cassia', 'orchid', 'incense', 'tolu balsam', 'peru balsam', 'oakmoss', 'patchouli', 'amber', 'vetiver', 'vanilla', 'musk']",warm spicy,4260
"['bergamot', 'mandarin orange', 'lemon', 'bitter orange', 'lavender', 'rosemary', 'myrtle', 'african orange flower', 'neroli', 'jasmine', 'pitosporum', 'amber', 'angelica', 'ambrette (musk mallow)']",citrus,10347
"['aldehydes', 'orange', 'honey', 'geranium', 'musk', 'patchouli', 'amber']",aldehydic,4780
"['freesia', 'lily-of-the-valley', 'rose', 'palm tree', 'narcissus', 'lily', 'gardenia', 'black currant', 'musk', 'oakmoss']",green,9276
"['hazelnut', 'coffee', 'cinnamon', 'tuberose', 'coconut', 'jasmine sambac', 'vanilla', 'white musk', 'cedar']",nutty,10975
"['violet leaf', 'bergamot', 'black tea', 'cinnamon', 'pimento', 'tobacco leaf', 'myrrh', 'musk', 'olive tree']",warm spicy,20334
"['violet leaf', 'cardamom', 'red currant', 'almond', 'lily-of-the-valley', 'jasmine', 'heliotrope', 'musk', 'benzoin']",almond,2386
"['orange', 'mandarin orange', 'bergamot', 'orange blossom', 'turkish rose', 'jasmine', 'mimosa', 'ylang-ylang', 'patchouli', 'white musk', 'vanilla', 'vetiver', 'tonka bean', 'opoponax']",citrus,15648
"['aldehydes', 'grapefruit', 'freesia', 'jasmine', 'lily-of-the-valley', 'orange', 'orchid', 'musk', 'sandalwood']",aldehydic,167
"['lemon', 'bergamot', 'carambola (star fruit)', 'cardamom', 'brazilian rosewood', 'cedar', 'tarragon', 'sage', 'pepper', 'musk', 'woodsy notes', 'saffron', 'amber', 'sycamore']",citrus,16573
"['bergamot', 'lily', 'lilac', 'neroli', 'jasmine', 'cloves', 'cinnamon', 'oakmoss', 'civet', 'sandalwood', 'musk']",mossy,16599
"['nutmeg', 'cinnamon', 'cardamom', 'grapefruit', 'lavender', 'licorice', 'sandalwood', 'amber', 'patchouli', 'haitian vetiver']",warm spicy,20070
"['calabrian bergamot', 'pepper', 'sichuan pepper', 'lavender', 'pink pepper', 'vetiver', 'patchouli', 'geranium', 'elemi', 'ambroxan', 'cedar', 'labdanum']",fresh spicy,7972
"['bergamot', 'lemon', 'mandarin orange', 'orange blossom', 'white nerium oleander', 'fig leaf', 'cypress', 'red cedar', 'juniper', 'pistachio', 'musk']",aromatic,16801
"['lavender', 'pink pepper', 'neroli', 'aldehydes', 'orris', 'petalia', 'blackberry leaf', 'orange blossom', 'musk', 'woodsy notes', 'vetiver', 'cedar', 'coumarin']",lavender,4691
"['melon', 'brandy', 'pear', 'mastic or lentisque', 'ginger', 'agave', 'salt', 'suede', 'clary sage', 'tonka bean', 'amber', 'vetiver']",aquatic,9246
"['mignonette', 'mandarin orange', 'sage', 'nectarine', 'blue hyacinth', 'peach blossom', 'rose hip', 'iris', 'red cyclamen', 'violet root', 'musk', 'sandalwood', 'cedar']",floral,4055
"['grapefruit', 'pineapple', 'bergamot', 'orange', 'rose', 'freesia', 'red apple', 'lotus', 'hyacinth', 'gardenia', 'lily-of-the-valley', 'violet', 'orris', 'patchouli', 'cedar', 'musk', 'amber', 'incense', 'pine']",citrus,14220
"['peach', 'coconut', 'mango', 'bergamot', 'fruits', 'geranium', 'jasmine', 'floral notes', 'lily-of-the-valley', 'vanilla', 'amber', 'sandalwood', 'musk', 'patchouli', 'woodsy notes']",vanilla,8271
"['bergamot', 'pepper', 'star anise', 'mint', 'ginger', 'sage', 'iris', 'boxwood', 'labdanum']",fresh spicy,12341
"['pear', 'jasmine', 'honey']",honey,11781
"['ylang-ylang', 'rose', 'bergamot', 'orris root', 'jasmine', 'peru balsam']",balsamic,3139
"['aldehydes', 'african orange flower', 'bergamot', 'carnation', 'ylang-ylang', 'jasmine', 'rose', 'iris', 'sandalwood', 'vanille', 'amber']",aldehydic,20216
"['lemon', 'green notes', 'bergamot', 'mandarin orange', 'pineapple', 'cardamom', 'papaya', 'lily-of-the-valley', 'jasmine', 'violet', 'rose', 'nutmeg', 'orris root', 'freesia', 'green accord', 'musk', 'cedar', 'sandalwood', 'oakmoss', 'green tea', 'amber']",citrus,6255
"['violet', 'pink grapefruit', 'bergamot', 'peony', 'iris', 'woodsy notes']",violet,8631
"['aldehydes', 'rose', 'pink pepper', 'peony', 'violet', 'african orange flower', 'musk', 'woodsy notes', 'sandalwood']",fresh,3861
"['allspice', 'haitian vetiver', 'tobacco']",tobacco,13364
"['saffron', 'mandarin orange', 'bergamot', 'patchouli', 'ylang-ylang', 'hawthorn', 'jasmine', 'birch', 'styrax', 'orris root']",leather,19341
"['chamomile', 'acai berry', 'lavender', 'violet leaf', 'cumin', 'beeswax', 'marigold', 'nard himalayan (jatamansi)', 'anise', 'jasmine', 'hay', 'mushroom', 'oakmoss', 'olibanum', 'myrrh', 'tonka bean', 'vanilla']",herbal,3323
"['coconut', 'ylang-ylang', 'peach', 'karo karounde', 'orange', 'jasmine', 'gardenia', 'violet', 'freesia', 'osmanthus', 'rose', 'vanilla', 'sandalwood', 'amber', 'musk']",vanilla,1523
"['aldehydes', 'bergamot', 'bourbon geranium', 'ylang-ylang', 'tuberose', 'rose', 'jasmine', 'olibanum', 'iris', 'vanilla', 'vetiver', 'sandalwood', 'styrax', 'patchouli']",aldehydic,13002
"['mandarin orange', 'incense', 'bergamot', 'ylang-ylang', 'jasmine', 'iris', 'caramel', 'amber', 'musk', 'vetiver']",caramel,3446
"['pistachio', 'cotton candy', 'popcorn', 'walnut', 'hazelnut', 'violet']",nutty,7053
"['black currant', 'red berries', 'cassia', 'bitter orange', 'mandarin orange', 'blackberry', 'peony', 'violet', 'freesia', 'jasmine', 'lily-of-the-valley', 'cedar', 'musk', 'heliotrope']",fruity,16224
"['davana', 'coffee', 'tonka bean', 'agarwood (oud)', 'sandalwood', 'labdanum']",oud,437
"['rum', 'osmanthus', 'leather', 'jasmine', 'rose', 'patchouli', 'vanille', 'amber', 'musk']",patchouli,14248
"['thyme', 'tea', 'lily-of-the-valley', 'saffron', 'rose', 'suede', 'musk', 'sandalwood', 'olibanum', 'amber']",musky,16567
"['clary sage', 'black currant', 'tobacco leaf', 'nutmeg', 'orris', 'tonka bean', 'oakmoss']",tobacco,21206
"['grapefruit', 'narcissus', 'lily-of-the-valley', 'rose', 'mimosa', 'tuberose', 'leather', 'iris']",leather,9944
"['hiacynth', 'galbanum', 'iris', 'bergamot', 'lemon', 'tuberose', 'aldehydes', 'jasmine', 'ylang-ylang', 'cloves', 'orris root', 'violet', 'spicy notes', 'rose', 'oakmoss', 'vetiver', 'sandalwood', 'musk', 'resins', 'amber', 'patchouli']",green,16051
"['black violet', 'saffron', 'honey', 'lavender', 'tonka bean', 'cedar', 'patchouli']",violet,16013
"['black currant', 'caraway', 'coriander', 'jasmine', 'lily-of-the-valley', 'oakmoss', 'sandalwood', 'musk']",mossy,20806
"['aldehydes', 'lime peel', 'bitter orange', 'coriander leaf', 'jasmine', 'pitosporum', 'metallic notes', 'musk', 'amber', 'cashmere wood']",metallic,8272
"['green notes', 'bulgarian rose', 'saffron', 'patchouli', 'cedar', 'tobacco', 'musk', 'vanilla']",tobacco,9669
"['caraway', 'cinnamon', 'pink nerium oleander', 'damask rose', 'tea', 'geranium', 'jasmine', 'agarwood (oud)', 'olibanum', 'patchouli', 'amber', 'sandalowood', 'guaiac wood', 'vanilla', 'orris root', 'musk']",fresh spicy,15039
"['italian lemon', 'turkish rose', 'vanilla', 'white musk', 'cedar']",rose,12822
"['aldehydes', 'green notes', 'honeysuckle', 'bergamot', 'peach', 'lemon', 'rose', 'iris', 'geranium', 'ylang-ylang', 'lily-of-the-valley', 'jasmine', 'magnolia', 'gardenia', 'oakmoss', 'tahitian vetiver', 'musk', 'sandalwood', 'tonka bean', 'amber']",aldehydic,9365
"['tobacco leaf', 'bergamot', 'amber', 'birch', 'leather', 'vanilla', 'sandalwood', 'guaiac wood', 'cedar', 'musk']",tobacco,18751
"['chestnut', 'hazelnut', 'green mandarin', 'honey', 'cinnamon leaf', 'jasmine sambac', 'tobacco', 'leather', 'peru balsam', 'labdanum', 'siam benzoin', 'orcanox\x99', 'cypriol oil or nagarmotha']",nutty,17910
"['vanilla', 'vanilla orchid', 'cacao pod', 'rum']",cacao,14383
"['african orange flower', 'neroli', 'orange', 'mandarin orange', 'iris', 'galbanum', 'mastic or lentisque', 'incense', 'virginia cedar', 'benzoin', 'vetiver']",iris,15432
"['orange', 'bergamot', 'grapefruit', 'litchi', 'rose', 'italian jasmine', 'patchouli', 'tahitian vetiver', 'bourbon vanilla', 'white musk']",citrus,17730
"['bitter orange', 'red currant', 'pink pepper', 'green tea', 'peony', 'jasmine', 'violet', 'cedar', 'musk', 'oakmoss', 'amber']",citrus,11542
"['leather', 'tobacco', 'cardamom', 'labdanum', 'singapore patchouli', 'violet leaves', 'jasmine sambac', 'musk', 'cambodian oud', 'indian oud', 'ambergris', 'oakmoss']",animalic,9659
"['cherry', 'pink pepper', 'cardamom', 'pomelo', 'bergamot', 'mandarin orange', 'black pepper', 'blackberry', 'apricot', 'lotus', 'cacao', 'musk', 'sandalowood', 'amber']",cacao,18224
"['cherry', 'spices', 'coffee', 'white tobacco', 'patchouli', 'atlas cedar', 'rose', 'tonka bean', 'amber', 'musk']",cherry,3042
"['sicilian lemon', 'jasmine', 'orange', 'black cherry', 'heliotrope', 'amber', 'woody notes']",cherry,4968
"['apple', 'smoke', 'cinnamon', 'tobacco', 'moss', 'bourbon vanilla', 'orcanox\x99']",tobacco,17959
"['clover', 'violet leaf', 'green mandarin', 'tuberose', 'mimosa', 'jasmine sambac', 'tonka bean', 'amber', 'bourbon vanilla']",tuberose,11096
"['sea water', 'lilac', 'jasmine', 'rose', 'fenugreek', 'patchouli', 'musk', 'tonka bean', 'vanilla']",marine,3600
"['absinthe', 'boysenberry', 'coffee', 'jasmine sambac', 'orange blossom', 'vanilla', 'licorice', 'sandalwood']",coffee,10357
"['lavender', 'bergamot', 'cappuccino', 'raspberry', 'jasmine', 'virginia cedar', 'lily-of-the-valley', 'vanille', 'amber', 'sandalwood', 'patchouli']",coffee,16835
"['bergamot', 'citruses', 'jasmine', 'rose', 'peach', 'ylang-ylang', 'jasmine', 'rose', 'lilac', 'oakmoss', 'spices', 'cinnamon', 'vetiver', 'amber']",mossy,15380
"['apple', 'cassis', 'pineapple', 'cacao', 'iris', 'egyptian jasmine', 'patchouli', 'amber', 'vanilla', 'musk', 'sandalwood']",cacao,3524
"['litchi', 'red currant', 'rose', 'vanilla', 'vetiver']",fruity,11732
"['jasmine', 'cashmere wood', 'orris root', 'vanilla pod', 'white amber', 'myrrh', 'incense']",amber,20348
"['neroli', 'bergamot', 'pink pepper', 'coriander', 'orange blossom', 'honeysuckle', 'jasmine', 'iris', 'rose', 'sugar', 'vanilla', 'caramel', 'musk', 'civet', 'labdanum']",sweet,13449
"['artemisia', 'basil', 'tangerine', 'bergamot', 'amalfi lemon', 'white honey', 'rose', 'jasmine', 'peach', 'pepper', 'civetta', 'oak moss', 'leather', 'patchouli', 'woodsy notes', 'virginia cedar']",animalic,19832
